@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-edge2/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

5,17,12,12,14,15,16,14,17,15,16,16,15,15,12,14,15,16,16,15,16,32,16,16,15,16,15,31,16,15,16,15,16,K1
5,16,16,11,15,14,17,16,14,14,17,16,15,16,14,16,15,14,15,15,18,31,16,15,16,16,16,31,15,16,15,16,15,K1
5,18,16,14,17,13,15,17,15,14,15,15,16,17,13,16,17,16,15,15,15,32,15,16,16,16,16,31,15,15,15,16,15,K1
4,16,16,14,16,12,15,15,15,15,16,16,15,16,15,15,16,16,16,15,15,32,15,15,15,16,15,31,16,16,15,16,15,K1
7,15,17,14,16,14,14,16,15,17,22,16,18,16,11,16,14,16,17,16,17,31,16,15,15,16,16,32,16,16,15,15,15,K1
5,16,14,16,18,16,15,16,16,15,15,18,15,15,14,16,16,16,16,15,17,32,16,15,15,16,15,31,16,16,16,16,16,K1
4,14,15,18,14,18,15,15,14,15,18,16,16,14,15,15,16,16,15,15,15,32,16,15,15,16,16,31,15,16,16,15,16,K1
5,12,15,12,15,11,16,16,15,15,17,16,15,17,15,14,15,17,15,15,16,32,16,16,15,16,15,31,15,15,16,15,16,K1
7,13,16,14,16,19,14,16,16,16,16,16,14,16,14,14,15,16,16,16,14,32,16,16,15,16,15,31,15,15,16,16,16,K1
6,15,19,15,16,16,15,17,15,16,17,15,14,16,13,15,16,14,15,15,16,32,16,16,15,16,15,30,15,16,16,16,16,K1
6,14,18,14,16,20,15,17,16,16,18,15,14,16,15,16,16,16,15,16,16,33,16,16,15,16,15,30,16,15,16,16,16,K1
4,15,17,17,16,19,16,16,14,16,18,16,16,15,15,16,16,15,15,16,16,32,16,15,15,16,15,31,16,16,16,16,16,K1
2,16,14,15,16,13,16,17,15,15,16,15,15,15,15,15,15,16,16,15,15,32,16,16,15,16,15,31,16,16,16,16,16,K1
