@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.GaborFilter-D../irteera/convert-edge2/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

3.117784,0.088278,3.118832,0.088308,3.118832,0.088308,3.117784,0.088278,3.118832,0.088308,3.118832,0.088308,3.222075,0.091231,3.223158,0.091262,3.223158,0.091262,3.222075,0.091231,3.223158,0.091262,3.223158,0.091262,3.219096,0.091147,3.220178,0.091178,3.220178,0.091178,3.219096,0.091147,3.220178,0.091178,3.220178,0.091178,3.210654,0.090908,3.211734,0.090938,3.211734,0.090938,3.210654,0.090908,3.211734,0.090938,3.211734,0.090938,3.186658,0.090228,3.187729,0.090259,3.187729,0.090259,3.186658,0.090228,3.187729,0.090259,3.187729,0.090259,K1
3.15896,0.086161,3.160022,0.08619,3.160022,0.08619,3.15896,0.086161,3.160022,0.08619,3.160022,0.08619,3.264628,0.089044,3.265725,0.089074,3.265725,0.089074,3.264628,0.089044,3.265725,0.089074,3.265725,0.089074,3.261609,0.088961,3.262706,0.088991,3.262706,0.088991,3.261609,0.088961,3.262706,0.088991,3.262706,0.088991,3.253056,0.088728,3.25415,0.088758,3.25415,0.088758,3.253056,0.088728,3.25415,0.088758,3.25415,0.088758,3.228743,0.088065,3.229828,0.088094,3.229828,0.088094,3.228743,0.088065,3.229828,0.088094,3.229828,0.088094,K1
2.778914,0.071291,2.779848,0.071315,2.779848,0.071315,2.778914,0.071291,2.779848,0.071315,2.779848,0.071315,2.87187,0.073676,2.872835,0.0737,2.872835,0.0737,2.87187,0.073676,2.872835,0.0737,2.872835,0.0737,2.869214,0.073607,2.870179,0.073632,2.870179,0.073632,2.869214,0.073607,2.870179,0.073632,2.870179,0.073632,2.86169,0.073414,2.862652,0.073439,2.862652,0.073439,2.86169,0.073414,2.862652,0.073439,2.862652,0.073439,2.840302,0.072866,2.841256,0.07289,2.841256,0.07289,2.840302,0.072866,2.841256,0.07289,2.841256,0.07289,K1
1.839549,0.055506,1.840167,0.055525,1.840167,0.055525,1.839549,0.055506,1.840167,0.055525,1.840167,0.055525,1.901082,0.057363,1.901721,0.057382,1.901721,0.057382,1.901082,0.057363,1.901721,0.057382,1.901721,0.057382,1.899325,0.05731,1.899963,0.057329,1.899963,0.057329,1.899325,0.05731,1.899963,0.057329,1.899963,0.057329,1.894344,0.05716,1.894981,0.057179,1.894981,0.057179,1.894344,0.05716,1.894981,0.057179,1.894981,0.057179,1.880186,0.056733,1.880818,0.056752,1.880818,0.056752,1.880186,0.056733,1.880818,0.056752,1.880818,0.056752,K1
3.920519,0.094875,3.921837,0.094907,3.921837,0.094907,3.920519,0.094875,3.921837,0.094907,3.921837,0.094907,4.051661,0.098049,4.053023,0.098082,4.053023,0.098082,4.051661,0.098049,4.053023,0.098082,4.053023,0.098082,4.047915,0.097958,4.049276,0.097991,4.049276,0.097991,4.047915,0.097958,4.049276,0.097991,4.049276,0.097991,4.0373,0.097701,4.038657,0.097734,4.038657,0.097734,4.0373,0.097701,4.038657,0.097734,4.038657,0.097734,4.007125,0.096971,4.008472,0.097003,4.008472,0.097003,4.007125,0.096971,4.008472,0.097003,4.008472,0.097003,K1
2.510628,0.067,2.511471,0.067023,2.511471,0.067023,2.510628,0.067,2.511471,0.067023,2.511471,0.067023,2.594609,0.069241,2.595481,0.069265,2.595481,0.069265,2.594609,0.069241,2.595481,0.069265,2.595481,0.069265,2.59221,0.069177,2.593081,0.069201,2.593081,0.069201,2.59221,0.069177,2.593081,0.069201,2.593081,0.069201,2.585412,0.068996,2.586281,0.069019,2.586281,0.069019,2.585412,0.068996,2.586281,0.069019,2.586281,0.069019,2.566088,0.06848,2.566951,0.068503,2.566951,0.068503,2.566088,0.06848,2.566951,0.068503,2.566951,0.068503,K1
1.901126,0.052685,1.901765,0.052703,1.901765,0.052703,1.901126,0.052685,1.901765,0.052703,1.901765,0.052703,1.964719,0.054447,1.96538,0.054465,1.96538,0.054465,1.964719,0.054447,1.96538,0.054465,1.96538,0.054465,1.962902,0.054397,1.963562,0.054415,1.963562,0.054415,1.962902,0.054397,1.963562,0.054415,1.963562,0.054415,1.957755,0.054254,1.958413,0.054272,1.958413,0.054272,1.957755,0.054254,1.958413,0.054272,1.958413,0.054272,1.943123,0.053849,1.943776,0.053867,1.943776,0.053867,1.943123,0.053849,1.943776,0.053867,1.943776,0.053867,K1
2.860432,0.078346,2.861394,0.078372,2.861394,0.078372,2.860432,0.078346,2.861394,0.078372,2.861394,0.078372,2.956115,0.080967,2.957108,0.080994,2.957108,0.080994,2.956115,0.080967,2.957108,0.080994,2.957108,0.080994,2.953381,0.080892,2.954374,0.080919,2.954374,0.080919,2.953381,0.080892,2.954374,0.080919,2.954374,0.080919,2.945637,0.08068,2.946627,0.080707,2.946627,0.080707,2.945637,0.08068,2.946627,0.080707,2.946627,0.080707,2.923621,0.080077,2.924603,0.080104,2.924603,0.080104,2.923621,0.080077,2.924603,0.080104,2.924603,0.080104,K1
4.364508,0.096095,4.365975,0.096127,4.365975,0.096127,4.364508,0.096095,4.365975,0.096127,4.365975,0.096127,4.510502,0.099309,4.512018,0.099343,4.512018,0.099343,4.510502,0.099309,4.512018,0.099343,4.512018,0.099343,4.506331,0.099218,4.507846,0.099251,4.507846,0.099251,4.506331,0.099218,4.507846,0.099251,4.507846,0.099251,4.494515,0.098957,4.496025,0.098991,4.496025,0.098991,4.494515,0.098957,4.496025,0.098991,4.496025,0.098991,4.460922,0.098218,4.462421,0.098251,4.462421,0.098251,4.460922,0.098218,4.462421,0.098251,4.462421,0.098251,K1
