@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-equalize/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

27,22,7,6,13,9,18,12,18,12,13,16,18,14,11,12,15,17,18,13,14,21,14,17,22,17,23,50,17,15,6,15,6,K1
26,19,22,6,14,7,18,15,12,15,16,16,17,18,12,18,16,13,13,15,19,26,16,17,21,16,21,46,21,13,5,18,5,K1
32,3,18,15,18,16,12,15,12,17,15,15,9,16,12,15,18,20,15,17,17,32,11,19,22,16,22,54,13,16,4,15,4,K1
29,16,16,5,16,5,13,17,13,14,15,15,13,15,7,14,15,15,16,15,14,24,14,15,18,15,23,50,15,15,8,15,5,K1
29,16,22,15,18,3,15,19,14,22,24,16,22,14,10,16,13,15,20,15,20,26,16,15,15,15,25,51,16,16,15,16,3,K1
30,19,6,23,15,12,18,9,17,14,21,16,12,17,12,17,17,17,17,17,16,28,16,18,25,13,18,50,15,15,6,16,5,K1
30,21,21,22,17,25,19,18,14,15,26,13,18,14,13,15,15,15,14,12,16,28,16,18,19,17,23,54,17,16,11,15,4,K1
35,29,18,25,15,25,19,15,23,16,17,14,7,14,16,16,16,11,16,16,15,27,13,17,19,15,20,49,11,15,6,16,7,K1
33,22,21,23,14,15,17,19,19,16,18,15,10,18,10,14,13,15,16,16,15,27,15,16,22,15,22,56,16,14,4,15,4,K1
29,20,20,12,12,18,16,20,13,15,18,13,8,22,14,12,16,13,16,12,16,24,15,17,21,15,23,56,16,14,4,17,3,K1
26,14,25,9,19,16,14,24,15,14,19,14,13,18,11,15,17,16,13,16,16,20,15,18,19,14,25,56,14,14,8,18,2,K1
27,19,18,20,19,17,18,16,8,16,21,18,18,14,11,15,15,13,14,13,15,21,16,14,19,14,25,56,16,16,8,16,2,K1
42,13,23,28,14,31,17,9,17,20,19,17,12,17,20,16,16,15,10,16,18,27,15,17,17,15,19,45,17,13,10,16,6,K1
28,18,3,14,16,8,16,14,15,12,20,17,24,16,10,15,16,14,19,16,14,26,18,7,19,14,23,47,13,19,5,18,4,K1
28,13,4,10,18,8,10,12,18,15,17,15,22,19,11,13,15,16,20,16,15,27,16,7,20,15,22,48,15,18,5,16,5,K1
21,10,17,8,14,6,17,16,18,15,22,16,21,16,7,21,15,17,13,14,16,14,17,15,12,16,18,53,11,15,18,15,1,K1
29,20,23,28,15,27,17,15,15,21,23,16,10,16,17,16,17,15,15,13,19,48,11,12,21,15,26,40,17,14,12,17,9,K1
30,11,24,18,15,18,14,19,14,13,25,17,13,16,11,15,16,17,12,17,13,29,16,14,18,16,21,50,15,16,8,16,5,K1
30,16,16,16,16,12,13,17,19,13,22,13,14,18,13,16,14,15,16,16,14,21,17,16,19,14,15,49,13,16,5,14,5,K1
26,14,13,5,16,7,15,18,14,15,15,12,16,14,12,18,15,15,18,16,13,18,12,17,22,16,24,51,15,16,7,15,5,K1
25,23,11,5,13,8,16,14,16,16,14,15,17,15,14,17,15,13,19,16,16,15,13,17,20,16,18,52,16,14,7,12,5,K1
28,8,22,8,19,7,17,16,9,15,19,18,21,15,12,15,16,15,16,12,16,24,14,17,18,17,24,52,17,12,8,17,7,K1
30,7,29,25,16,18,16,19,14,21,17,18,15,14,16,17,14,18,13,19,16,40,17,9,18,15,21,45,15,15,6,16,6,K1
30,25,29,21,17,20,19,20,12,24,19,12,12,15,17,18,14,11,12,15,15,38,13,8,18,16,20,44,16,16,7,15,6,K1
24,20,11,6,13,9,17,14,17,15,14,14,18,16,13,15,14,15,18,15,15,12,13,17,22,17,19,51,18,15,6,13,5,K1
31,10,29,17,14,25,14,21,16,22,18,12,8,18,21,17,15,20,12,17,17,35,16,9,20,15,18,44,15,16,7,15,6,K1
32,16,29,18,17,28,15,20,14,24,19,15,8,15,21,15,13,15,13,15,18,34,15,10,20,17,17,46,15,15,7,15,6,K1
23,17,15,7,17,5,13,15,15,15,22,16,13,14,7,14,14,15,16,14,16,23,17,16,18,15,27,53,15,16,13,16,1,K1
28,14,14,8,17,24,18,13,15,12,23,15,21,19,14,16,16,14,13,18,16,14,13,19,11,14,20,58,19,16,21,18,1,K1
23,17,15,9,13,11,15,17,13,14,16,16,22,13,14,15,16,14,17,17,16,18,20,21,21,18,26,53,15,12,6,14,3,K1
31,4,24,13,14,10,8,14,16,18,18,16,12,12,12,12,14,19,14,15,14,24,16,18,21,14,23,53,12,14,6,19,4,K1
31,26,15,21,17,8,21,13,17,16,18,15,9,18,12,15,16,14,16,16,16,27,19,17,24,15,23,55,19,14,5,17,3,K1
33,11,13,22,13,18,6,12,22,14,18,15,10,17,12,11,16,11,15,17,16,29,12,15,23,15,24,56,17,16,4,17,5,K1
29,28,15,18,17,25,20,16,17,16,14,16,13,14,14,16,14,14,16,15,16,26,14,12,22,16,18,50,12,21,5,14,6,K1
30,17,18,7,18,5,20,20,16,15,16,18,23,14,17,14,14,12,17,15,16,11,14,14,13,16,13,55,16,17,19,15,20,K1
33,8,28,23,22,26,15,12,10,25,18,20,7,18,19,16,14,14,17,20,14,25,20,13,21,14,14,40,16,16,7,15,7,K1
30,4,16,19,20,24,13,15,12,22,19,14,5,17,12,17,17,18,17,15,21,31,18,18,20,15,17,41,13,14,8,15,8,K1
26,18,10,6,13,11,19,15,16,12,19,11,18,17,14,15,16,15,20,10,14,13,10,21,17,15,15,56,19,10,11,15,8,K1
28,18,12,4,17,5,15,12,17,18,13,15,17,16,12,15,14,15,20,15,16,15,15,19,19,16,18,54,17,14,11,16,12,K1
31,16,15,19,12,28,17,13,19,18,14,13,8,15,16,15,16,16,19,15,17,28,15,15,13,14,18,48,15,15,13,16,9,K1
28,14,26,9,12,10,14,17,14,18,17,14,15,17,14,18,12,14,15,16,14,25,15,17,22,16,23,50,14,16,6,16,6,K1
28,16,23,6,13,6,17,18,13,18,16,16,19,15,15,15,14,16,15,16,15,22,13,17,21,18,19,50,16,15,9,14,8,K1
29,18,22,6,13,3,17,20,16,15,17,15,21,16,14,15,15,16,14,15,15,22,15,13,16,20,16,49,15,17,13,13,12,K1
28,17,5,13,16,10,13,9,16,17,21,15,22,18,18,15,11,14,19,17,13,30,18,14,21,16,23,51,14,20,8,15,6,K2
29,9,28,17,13,7,14,19,18,19,20,17,13,21,12,19,11,19,14,17,13,28,17,15,21,13,23,50,18,16,6,16,6,K2
30,26,11,16,15,11,25,21,17,9,19,15,18,17,19,15,18,9,19,15,16,37,18,17,19,17,21,45,11,14,10,13,9,K2
28,7,21,7,21,21,8,18,16,12,19,16,16,19,12,14,15,17,12,15,17,30,17,15,16,17,26,54,13,15,15,13,2,K2
31,15,23,12,15,19,16,17,13,20,22,15,17,14,13,17,13,12,14,17,18,21,14,16,17,16,18,57,15,15,10,15,3,K2
28,22,21,5,12,19,16,18,23,7,18,9,16,15,19,14,11,18,10,17,11,25,16,14,24,15,22,49,16,17,5,17,6,K2
26,13,22,8,11,15,15,24,19,9,17,16,19,12,12,16,14,19,12,14,10,18,12,18,20,15,22,56,18,14,6,15,4,K2
27,14,23,9,16,10,18,12,21,11,15,16,22,15,14,15,13,14,18,15,12,22,21,11,19,16,25,51,13,17,7,19,6,K2
27,19,7,7,11,8,10,22,18,7,13,18,13,18,10,12,15,15,15,14,14,20,19,17,22,12,17,50,11,16,5,17,5,K2
28,11,24,8,13,10,18,12,19,12,15,15,24,12,11,15,12,14,14,16,12,22,22,12,20,14,27,51,15,14,10,16,7,K2
