@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.FCTHFilter-D../irteera/convert-equalize/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute FCTH0 numeric
@attribute FCTH1 numeric
@attribute FCTH2 numeric
@attribute FCTH3 numeric
@attribute FCTH4 numeric
@attribute FCTH5 numeric
@attribute FCTH6 numeric
@attribute FCTH7 numeric
@attribute FCTH8 numeric
@attribute FCTH9 numeric
@attribute FCTH10 numeric
@attribute FCTH11 numeric
@attribute FCTH12 numeric
@attribute FCTH13 numeric
@attribute FCTH14 numeric
@attribute FCTH15 numeric
@attribute FCTH16 numeric
@attribute FCTH17 numeric
@attribute FCTH18 numeric
@attribute FCTH19 numeric
@attribute FCTH20 numeric
@attribute FCTH21 numeric
@attribute FCTH22 numeric
@attribute FCTH23 numeric
@attribute FCTH24 numeric
@attribute FCTH25 numeric
@attribute FCTH26 numeric
@attribute FCTH27 numeric
@attribute FCTH28 numeric
@attribute FCTH29 numeric
@attribute FCTH30 numeric
@attribute FCTH31 numeric
@attribute FCTH32 numeric
@attribute FCTH33 numeric
@attribute FCTH34 numeric
@attribute FCTH35 numeric
@attribute FCTH36 numeric
@attribute FCTH37 numeric
@attribute FCTH38 numeric
@attribute FCTH39 numeric
@attribute FCTH40 numeric
@attribute FCTH41 numeric
@attribute FCTH42 numeric
@attribute FCTH43 numeric
@attribute FCTH44 numeric
@attribute FCTH45 numeric
@attribute FCTH46 numeric
@attribute FCTH47 numeric
@attribute FCTH48 numeric
@attribute FCTH49 numeric
@attribute FCTH50 numeric
@attribute FCTH51 numeric
@attribute FCTH52 numeric
@attribute FCTH53 numeric
@attribute FCTH54 numeric
@attribute FCTH55 numeric
@attribute FCTH56 numeric
@attribute FCTH57 numeric
@attribute FCTH58 numeric
@attribute FCTH59 numeric
@attribute FCTH60 numeric
@attribute FCTH61 numeric
@attribute FCTH62 numeric
@attribute FCTH63 numeric
@attribute FCTH64 numeric
@attribute FCTH65 numeric
@attribute FCTH66 numeric
@attribute FCTH67 numeric
@attribute FCTH68 numeric
@attribute FCTH69 numeric
@attribute FCTH70 numeric
@attribute FCTH71 numeric
@attribute FCTH72 numeric
@attribute FCTH73 numeric
@attribute FCTH74 numeric
@attribute FCTH75 numeric
@attribute FCTH76 numeric
@attribute FCTH77 numeric
@attribute FCTH78 numeric
@attribute FCTH79 numeric
@attribute FCTH80 numeric
@attribute FCTH81 numeric
@attribute FCTH82 numeric
@attribute FCTH83 numeric
@attribute FCTH84 numeric
@attribute FCTH85 numeric
@attribute FCTH86 numeric
@attribute FCTH87 numeric
@attribute FCTH88 numeric
@attribute FCTH89 numeric
@attribute FCTH90 numeric
@attribute FCTH91 numeric
@attribute FCTH92 numeric
@attribute FCTH93 numeric
@attribute FCTH94 numeric
@attribute FCTH95 numeric
@attribute FCTH96 numeric
@attribute FCTH97 numeric
@attribute FCTH98 numeric
@attribute FCTH99 numeric
@attribute FCTH100 numeric
@attribute FCTH101 numeric
@attribute FCTH102 numeric
@attribute FCTH103 numeric
@attribute FCTH104 numeric
@attribute FCTH105 numeric
@attribute FCTH106 numeric
@attribute FCTH107 numeric
@attribute FCTH108 numeric
@attribute FCTH109 numeric
@attribute FCTH110 numeric
@attribute FCTH111 numeric
@attribute FCTH112 numeric
@attribute FCTH113 numeric
@attribute FCTH114 numeric
@attribute FCTH115 numeric
@attribute FCTH116 numeric
@attribute FCTH117 numeric
@attribute FCTH118 numeric
@attribute FCTH119 numeric
@attribute FCTH120 numeric
@attribute FCTH121 numeric
@attribute FCTH122 numeric
@attribute FCTH123 numeric
@attribute FCTH124 numeric
@attribute FCTH125 numeric
@attribute FCTH126 numeric
@attribute FCTH127 numeric
@attribute FCTH128 numeric
@attribute FCTH129 numeric
@attribute FCTH130 numeric
@attribute FCTH131 numeric
@attribute FCTH132 numeric
@attribute FCTH133 numeric
@attribute FCTH134 numeric
@attribute FCTH135 numeric
@attribute FCTH136 numeric
@attribute FCTH137 numeric
@attribute FCTH138 numeric
@attribute FCTH139 numeric
@attribute FCTH140 numeric
@attribute FCTH141 numeric
@attribute FCTH142 numeric
@attribute FCTH143 numeric
@attribute FCTH144 numeric
@attribute FCTH145 numeric
@attribute FCTH146 numeric
@attribute FCTH147 numeric
@attribute FCTH148 numeric
@attribute FCTH149 numeric
@attribute FCTH150 numeric
@attribute FCTH151 numeric
@attribute FCTH152 numeric
@attribute FCTH153 numeric
@attribute FCTH154 numeric
@attribute FCTH155 numeric
@attribute FCTH156 numeric
@attribute FCTH157 numeric
@attribute FCTH158 numeric
@attribute FCTH159 numeric
@attribute FCTH160 numeric
@attribute FCTH161 numeric
@attribute FCTH162 numeric
@attribute FCTH163 numeric
@attribute FCTH164 numeric
@attribute FCTH165 numeric
@attribute FCTH166 numeric
@attribute FCTH167 numeric
@attribute FCTH168 numeric
@attribute FCTH169 numeric
@attribute FCTH170 numeric
@attribute FCTH171 numeric
@attribute FCTH172 numeric
@attribute FCTH173 numeric
@attribute FCTH174 numeric
@attribute FCTH175 numeric
@attribute FCTH176 numeric
@attribute FCTH177 numeric
@attribute FCTH178 numeric
@attribute FCTH179 numeric
@attribute FCTH180 numeric
@attribute FCTH181 numeric
@attribute FCTH182 numeric
@attribute FCTH183 numeric
@attribute FCTH184 numeric
@attribute FCTH185 numeric
@attribute FCTH186 numeric
@attribute FCTH187 numeric
@attribute FCTH188 numeric
@attribute FCTH189 numeric
@attribute FCTH190 numeric
@attribute FCTH191 numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

5,5,5,3,2,3,3,6,3,0,0,2,0,0,1,0,0,0,1,0,3,1,0,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
4,3,4,2,3,0,1,4,0,0,0,0,0,0,2,1,1,3,2,1,3,1,0,0,2,2,1,2,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
4,3,3,3,6,3,0,0,2,0,0,1,0,0,0,0,0,0,2,0,2,7,1,2,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
6,5,4,5,3,4,0,5,2,0,0,3,0,0,1,0,0,0,1,0,1,3,0,3,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
5,3,4,6,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
5,3,3,1,6,1,2,1,2,3,1,2,0,0,0,0,0,0,4,0,2,3,0,2,2,2,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
5,4,0,3,6,4,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,6,0,1,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
7,6,0,3,5,5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,1,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
6,3,1,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
