@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.GaborFilter-D../irteera/convert-equalize/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

13.132157,0.113863,13.136572,0.113902,13.136572,0.113902,13.132157,0.113863,13.136572,0.113902,13.136572,0.113902,13.571431,0.117672,13.575993,0.117712,13.575993,0.117712,13.571431,0.117672,13.575993,0.117712,13.575993,0.117712,13.558883,0.117563,13.563441,0.117603,13.563441,0.117603,13.558883,0.117563,13.563441,0.117603,13.563441,0.117603,13.523328,0.117255,13.527874,0.117295,13.527874,0.117295,13.523328,0.117255,13.527874,0.117295,13.527874,0.117295,13.422253,0.116379,13.426764,0.116418,13.426764,0.116418,13.422253,0.116379,13.426764,0.116418,13.426764,0.116418,K1
12.164918,0.124579,12.169007,0.124621,12.169007,0.124621,12.164918,0.124579,12.169007,0.124621,12.169007,0.124621,12.571838,0.128746,12.576064,0.128789,12.576064,0.128789,12.571838,0.128746,12.576064,0.128789,12.576064,0.128789,12.560214,0.128627,12.564436,0.12867,12.564436,0.12867,12.560214,0.128627,12.564436,0.12867,12.564436,0.12867,12.527277,0.12829,12.531488,0.128333,12.531488,0.128333,12.527277,0.12829,12.531488,0.128333,12.531488,0.128333,12.433647,0.127331,12.437826,0.127374,12.437826,0.127374,12.433647,0.127331,12.437826,0.127374,12.437826,0.127374,K1
14.87246,0.092366,14.87746,0.092397,14.87746,0.092397,14.87246,0.092366,14.87746,0.092397,14.87746,0.092397,15.369948,0.095456,15.375114,0.095488,15.375114,0.095488,15.369948,0.095456,15.375114,0.095488,15.375114,0.095488,15.355737,0.095367,15.360898,0.095399,15.360898,0.095399,15.355737,0.095367,15.360898,0.095399,15.360898,0.095399,15.31547,0.095117,15.320618,0.095149,15.320618,0.095149,15.31547,0.095117,15.320618,0.095149,15.320618,0.095149,15.201,0.094406,15.206109,0.094438,15.206109,0.094438,15.201,0.094406,15.206109,0.094438,15.206109,0.094438,K1
13.632727,0.110149,13.63731,0.110186,13.63731,0.110186,13.632727,0.110149,13.63731,0.110186,13.63731,0.110186,14.088745,0.113834,14.093481,0.113872,14.093481,0.113872,14.088745,0.113834,14.093481,0.113872,14.093481,0.113872,14.075719,0.113728,14.08045,0.113767,14.08045,0.113767,14.075719,0.113728,14.08045,0.113767,14.08045,0.113767,14.038808,0.11343,14.043527,0.113468,14.043527,0.113468,14.038808,0.11343,14.043527,0.113468,14.043527,0.113468,13.93388,0.112582,13.938564,0.11262,13.938564,0.11262,13.93388,0.112582,13.938564,0.11262,13.938564,0.11262,K1
13.023927,0.115351,13.028305,0.11539,13.028305,0.11539,13.023927,0.115351,13.028305,0.11539,13.028305,0.11539,13.45958,0.11921,13.464105,0.11925,13.464105,0.11925,13.45958,0.11921,13.464105,0.11925,13.464105,0.11925,13.447135,0.1191,13.451656,0.11914,13.451656,0.11914,13.447135,0.1191,13.451656,0.11914,13.451656,0.11914,13.411873,0.118787,13.416382,0.118827,13.416382,0.118827,13.411873,0.118787,13.416382,0.118827,13.416382,0.118827,13.311631,0.117899,13.316106,0.117939,13.316106,0.117939,13.311631,0.117899,13.316106,0.117939,13.316106,0.117939,K1
13.04595,0.090629,13.050335,0.090659,13.050335,0.090659,13.04595,0.090629,13.050335,0.090659,13.050335,0.090659,13.48234,0.09366,13.486872,0.093692,13.486872,0.093692,13.48234,0.09366,13.486872,0.093692,13.486872,0.093692,13.469874,0.093574,13.474402,0.093605,13.474402,0.093605,13.469874,0.093574,13.474402,0.093605,13.474402,0.093605,13.434552,0.093328,13.439068,0.09336,13.439068,0.09336,13.434552,0.093328,13.439068,0.09336,13.439068,0.09336,13.334141,0.092631,13.338623,0.092662,13.338623,0.092662,13.334141,0.092631,13.338623,0.092662,13.338623,0.092662,K1
13.343754,0.070249,13.348239,0.070272,13.348239,0.070272,13.343754,0.070249,13.348239,0.070272,13.348239,0.070272,13.790106,0.072599,13.794741,0.072623,13.794741,0.072623,13.790106,0.072599,13.794741,0.072623,13.794741,0.072623,13.777355,0.072532,13.781987,0.072556,13.781987,0.072556,13.777355,0.072532,13.781987,0.072556,13.781987,0.072556,13.741227,0.072341,13.745846,0.072366,13.745846,0.072366,13.741227,0.072341,13.745846,0.072366,13.745846,0.072366,13.638523,0.071801,13.643108,0.071825,13.643108,0.071825,13.638523,0.071801,13.643108,0.071825,13.643108,0.071825,K1
12.82973,0.071083,12.834042,0.071107,12.834042,0.071107,12.82973,0.071083,12.834042,0.071107,12.834042,0.071107,13.258887,0.073461,13.263344,0.073486,13.263344,0.073486,13.258887,0.073461,13.263344,0.073486,13.263344,0.073486,13.246628,0.073393,13.251081,0.073418,13.251081,0.073418,13.246628,0.073393,13.251081,0.073418,13.251081,0.073418,13.211891,0.073201,13.216333,0.073225,13.216333,0.073225,13.211891,0.073201,13.216333,0.073225,13.216333,0.073225,13.113144,0.072654,13.117552,0.072678,13.117552,0.072678,13.113144,0.072654,13.117552,0.072678,13.117552,0.072678,K1
14.86192,0.075519,14.866916,0.075545,14.866916,0.075545,14.86192,0.075519,14.866916,0.075545,14.866916,0.075545,15.359055,0.078045,15.364218,0.078072,15.364218,0.078072,15.359055,0.078045,15.364218,0.078072,15.364218,0.078072,15.344854,0.077973,15.350012,0.077999,15.350012,0.077999,15.344854,0.077973,15.350012,0.077999,15.350012,0.077999,15.304615,0.077769,15.30976,0.077795,15.30976,0.077795,15.304615,0.077769,15.30976,0.077795,15.30976,0.077795,15.190226,0.077188,15.195333,0.077213,15.195333,0.077213,15.190226,0.077188,15.195333,0.077213,15.195333,0.077213,K1
