@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D../irteera/convert-equalize/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

111,37,0,0,7,7,0,0,0,0,0,0,0,0,0,0,41,18,0,0,27,255,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,46,7,0,0,10,40,9,0,0,0,3,0,0,0,0,104,171,3,0,0,6,76,16,0,0,15,148,K1
178,15,0,0,20,69,2,0,0,1,0,0,0,0,0,0,5,9,0,0,4,255,37,0,0,9,41,0,0,0,0,0,1,0,0,0,6,36,17,0,0,3,60,7,0,0,4,6,3,1,0,0,119,155,14,0,0,5,64,40,0,0,8,173,K1
63,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,47,16,0,0,34,120,34,0,0,0,1,0,0,0,0,0,109,5,0,0,0,26,45,0,0,0,76,41,0,0,0,0,91,2,0,0,0,33,33,0,0,0,87,255,0,0,0,108,K1
130,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,68,37,0,0,70,255,18,0,0,0,3,0,0,0,0,0,1,0,0,0,0,5,11,0,0,0,129,5,0,0,0,0,27,2,0,0,127,77,5,0,0,2,128,92,0,0,0,160,K1
76,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,68,0,0,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,22,1,0,0,0,0,0,0,0,0,3,255,3,0,0,3,119,18,0,0,1,117,K1
105,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,28,0,0,16,83,41,0,0,2,2,0,0,0,0,0,255,6,0,0,0,56,36,0,0,90,163,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,115,0,0,0,154,K1
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,8,47,10,0,0,2,0,0,0,0,0,0,255,2,0,0,0,33,22,0,0,7,101,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,157,0,0,0,74,K1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,164,4,0,0,0,0,0,0,0,0,0,230,4,0,0,0,103,56,0,0,0,202,4,0,0,24,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,17,255,K1
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,101,8,0,0,0,0,0,0,0,0,0,119,11,0,0,0,88,120,0,0,0,255,37,0,0,0,0,201,0,0,0,0,7,6,0,0,0,56,59,0,0,0,189,K1
105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,1,32,4,0,0,0,0,0,0,0,0,0,23,7,0,0,1,32,36,0,0,1,228,12,0,0,0,0,255,1,0,0,0,3,3,0,0,0,44,26,0,0,0,147,K1
130,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,0,0,8,30,11,0,0,0,0,0,0,0,0,0,255,5,0,0,5,43,14,0,0,1,139,6,0,0,0,0,79,0,0,0,1,2,1,0,0,0,50,33,0,0,0,157,K1
76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,9,9,0,0,0,1,0,0,0,0,0,255,4,0,0,1,11,9,0,0,1,99,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,22,0,0,0,102,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,6,0,0,0,62,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,K1
244,8,0,0,32,1,8,0,0,0,0,2,0,0,0,0,60,12,0,0,222,163,29,0,0,0,37,60,0,0,0,0,1,0,0,0,1,34,15,0,0,0,124,147,0,0,3,26,104,1,0,0,153,112,7,0,0,1,109,51,0,0,1,255,K1
212,43,0,0,33,15,7,0,0,0,0,0,0,0,0,0,69,29,0,0,143,251,48,0,0,1,17,10,0,0,0,0,0,0,0,0,0,27,28,0,0,2,130,141,0,0,0,23,27,0,0,0,194,155,8,0,0,1,127,86,0,0,0,255,K1
140,0,0,0,46,4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,222,71,0,0,0,11,1,0,0,0,0,0,9,2,0,0,16,21,0,0,0,10,27,2,0,0,0,0,255,4,0,0,4,17,5,0,0,5,82,21,0,0,8,152,K1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,5,0,0,0,141,10,123,0,0,0,30,0,0,0,0,0,0,0,0,0,1,4,66,0,0,1,198,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,142,K1
