@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.GaborFilter-D../irteera/convert-gaussianblur3x3/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

6.180215,0.061554,6.182293,0.061575,6.182293,0.061575,6.180215,0.061554,6.182293,0.061575,6.182293,0.061575,6.386945,0.063613,6.389092,0.063635,6.389092,0.063635,6.386945,0.063613,6.389092,0.063635,6.389092,0.063635,6.381039,0.063555,6.383184,0.063576,6.383184,0.063576,6.381039,0.063555,6.383184,0.063576,6.383184,0.063576,6.364307,0.063388,6.366446,0.063409,6.366446,0.063409,6.364307,0.063388,6.366446,0.063409,6.366446,0.063409,6.316739,0.062914,6.318862,0.062935,6.318862,0.062935,6.316739,0.062914,6.318862,0.062935,6.318862,0.062935,K1
3.381009,0.031418,3.382146,0.031429,3.382146,0.031429,3.381009,0.031418,3.382146,0.031429,3.382146,0.031429,3.494105,0.032469,3.495279,0.03248,3.495279,0.03248,3.494105,0.032469,3.495279,0.03248,3.495279,0.03248,3.490874,0.032439,3.492047,0.03245,3.492047,0.03245,3.490874,0.032439,3.492047,0.03245,3.492047,0.03245,3.48172,0.032354,3.48289,0.032365,3.48289,0.032365,3.48172,0.032354,3.48289,0.032365,3.48289,0.032365,3.455697,0.032112,3.456859,0.032123,3.456859,0.032123,3.455697,0.032112,3.456859,0.032123,3.456859,0.032123,K1
7.921307,0.037707,7.92397,0.03772,7.92397,0.03772,7.921307,0.037707,7.92397,0.03772,7.92397,0.03772,8.186277,0.038968,8.189028,0.038981,8.189028,0.038981,8.186277,0.038968,8.189028,0.038981,8.189028,0.038981,8.178708,0.038932,8.181457,0.038945,8.181457,0.038945,8.178708,0.038932,8.181457,0.038945,8.181457,0.038945,8.157261,0.03883,8.160003,0.038843,8.160003,0.038843,8.157261,0.03883,8.160003,0.038843,8.160003,0.038843,8.096292,0.03854,8.099014,0.038553,8.099014,0.038553,8.096292,0.03854,8.099014,0.038553,8.099014,0.038553,K1
4.517486,0.03977,4.519005,0.039783,4.519005,0.039783,4.517486,0.03977,4.519005,0.039783,4.519005,0.039783,4.668597,0.0411,4.670166,0.041114,4.670166,0.041114,4.668597,0.0411,4.670166,0.041114,4.670166,0.041114,4.66428,0.041062,4.665848,0.041076,4.665848,0.041076,4.66428,0.041062,4.665848,0.041076,4.665848,0.041076,4.652049,0.040954,4.653613,0.040968,4.653613,0.040968,4.652049,0.040954,4.653613,0.040968,4.653613,0.040968,4.617279,0.040648,4.618831,0.040662,4.618831,0.040662,4.617279,0.040648,4.618831,0.040662,4.618831,0.040662,K1
9.694086,0.083319,9.697344,0.083347,9.697344,0.083347,9.694086,0.083319,9.697344,0.083347,9.697344,0.083347,10.018355,0.086106,10.021723,0.086135,10.021723,0.086135,10.018355,0.086106,10.021723,0.086135,10.021723,0.086135,10.009092,0.086026,10.012457,0.086055,10.012457,0.086055,10.009092,0.086026,10.012457,0.086055,10.012457,0.086055,9.982846,0.085801,9.986201,0.08583,9.986201,0.08583,9.982846,0.085801,9.986201,0.08583,9.986201,0.08583,9.908232,0.085159,9.911563,0.085188,9.911563,0.085188,9.908232,0.085159,9.911563,0.085188,9.911563,0.085188,K1
8.551977,0.057506,8.554852,0.057526,8.554852,0.057526,8.551977,0.057506,8.554852,0.057526,8.554852,0.057526,8.838043,0.05943,8.841014,0.05945,8.841014,0.05945,8.838043,0.05943,8.841014,0.05945,8.841014,0.05945,8.829871,0.059375,8.832839,0.059395,8.832839,0.059395,8.829871,0.059375,8.832839,0.059395,8.832839,0.059395,8.806717,0.059219,8.809677,0.059239,8.809677,0.059239,8.806717,0.059219,8.809677,0.059239,8.809677,0.059239,8.740894,0.058777,8.743832,0.058796,8.743832,0.058796,8.740894,0.058777,8.743832,0.058796,8.743832,0.058796,K1
9.795655,0.05333,9.798947,0.053348,9.798947,0.053348,9.795655,0.05333,9.798947,0.053348,9.798947,0.053348,10.123322,0.055114,10.126725,0.055133,10.126725,0.055133,10.123322,0.055114,10.126725,0.055133,10.126725,0.055133,10.113962,0.055063,10.117361,0.055082,10.117361,0.055082,10.113962,0.055063,10.117361,0.055082,10.117361,0.055082,10.08744,0.054919,10.090831,0.054937,10.090831,0.054937,10.08744,0.054919,10.090831,0.054937,10.090831,0.054937,10.012045,0.054508,10.015411,0.054527,10.015411,0.054527,10.012045,0.054508,10.015411,0.054527,10.015411,0.054527,K1
13.733091,0.080231,13.737707,0.080258,13.737707,0.080258,13.733091,0.080231,13.737707,0.080258,13.737707,0.080258,14.192466,0.082915,14.197237,0.082943,14.197237,0.082943,14.192466,0.082915,14.197237,0.082943,14.197237,0.082943,14.179344,0.082838,14.18411,0.082866,14.18411,0.082866,14.179344,0.082838,14.18411,0.082866,14.18411,0.082866,14.142161,0.082621,14.146915,0.082649,14.146915,0.082649,14.142161,0.082621,14.146915,0.082649,14.146915,0.082649,14.036461,0.082003,14.041179,0.082031,14.041179,0.082031,14.036461,0.082003,14.041179,0.082031,14.041179,0.082031,K1
11.540713,0.058369,11.544592,0.058389,11.544592,0.058389,11.540713,0.058369,11.544592,0.058389,11.544592,0.058389,11.926753,0.060322,11.930762,0.060342,11.930762,0.060342,11.926753,0.060322,11.930762,0.060342,11.930762,0.060342,11.915725,0.060266,11.91973,0.060286,11.91973,0.060286,11.915725,0.060266,11.91973,0.060286,11.91973,0.060286,11.884479,0.060108,11.888473,0.060128,11.888473,0.060128,11.884479,0.060108,11.888473,0.060128,11.888473,0.060128,11.795652,0.059659,11.799617,0.059679,11.799617,0.059679,11.795652,0.059659,11.799617,0.059679,11.799617,0.059679,K1
