@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D../irteera/convert-gaussianblur3x3/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Histogram of JPEG Coefficients0' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients2' numeric
@attribute 'Histogram of JPEG Coefficients3' numeric
@attribute 'Histogram of JPEG Coefficients4' numeric
@attribute 'Histogram of JPEG Coefficients5' numeric
@attribute 'Histogram of JPEG Coefficients6' numeric
@attribute 'Histogram of JPEG Coefficients7' numeric
@attribute 'Histogram of JPEG Coefficients8' numeric
@attribute 'Histogram of JPEG Coefficients9' numeric
@attribute 'Histogram of JPEG Coefficients10' numeric
@attribute 'Histogram of JPEG Coefficients11' numeric
@attribute 'Histogram of JPEG Coefficients12' numeric
@attribute 'Histogram of JPEG Coefficients13' numeric
@attribute 'Histogram of JPEG Coefficients14' numeric
@attribute 'Histogram of JPEG Coefficients15' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients17' numeric
@attribute 'Histogram of JPEG Coefficients18' numeric
@attribute 'Histogram of JPEG Coefficients19' numeric
@attribute 'Histogram of JPEG Coefficients20' numeric
@attribute 'Histogram of JPEG Coefficients21' numeric
@attribute 'Histogram of JPEG Coefficients22' numeric
@attribute 'Histogram of JPEG Coefficients23' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients25' numeric
@attribute 'Histogram of JPEG Coefficients26' numeric
@attribute 'Histogram of JPEG Coefficients27' numeric
@attribute 'Histogram of JPEG Coefficients28' numeric
@attribute 'Histogram of JPEG Coefficients29' numeric
@attribute 'Histogram of JPEG Coefficients30' numeric
@attribute 'Histogram of JPEG Coefficients31' numeric
@attribute 'Histogram of JPEG Coefficients32' numeric
@attribute 'Histogram of JPEG Coefficients33' numeric
@attribute 'Histogram of JPEG Coefficients34' numeric
@attribute 'Histogram of JPEG Coefficients35' numeric
@attribute 'Histogram of JPEG Coefficients36' numeric
@attribute 'Histogram of JPEG Coefficients37' numeric
@attribute 'Histogram of JPEG Coefficients38' numeric
@attribute 'Histogram of JPEG Coefficients39' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients41' numeric
@attribute 'Histogram of JPEG Coefficients42' numeric
@attribute 'Histogram of JPEG Coefficients43' numeric
@attribute 'Histogram of JPEG Coefficients44' numeric
@attribute 'Histogram of JPEG Coefficients45' numeric
@attribute 'Histogram of JPEG Coefficients46' numeric
@attribute 'Histogram of JPEG Coefficients47' numeric
@attribute 'Histogram of JPEG Coefficients48' numeric
@attribute 'Histogram of JPEG Coefficients49' numeric
@attribute 'Histogram of JPEG Coefficients50' numeric
@attribute 'Histogram of JPEG Coefficients51' numeric
@attribute 'Histogram of JPEG Coefficients52' numeric
@attribute 'Histogram of JPEG Coefficients53' numeric
@attribute 'Histogram of JPEG Coefficients54' numeric
@attribute 'Histogram of JPEG Coefficients55' numeric
@attribute 'Histogram of JPEG Coefficients56' numeric
@attribute 'Histogram of JPEG Coefficients57' numeric
@attribute 'Histogram of JPEG Coefficients58' numeric
@attribute 'Histogram of JPEG Coefficients59' numeric
@attribute 'Histogram of JPEG Coefficients60' numeric
@attribute 'Histogram of JPEG Coefficients61' numeric
@attribute 'Histogram of JPEG Coefficients62' numeric
@attribute 'Histogram of JPEG Coefficients63' numeric
@attribute 'Histogram of JPEG Coefficients64' numeric
@attribute 'Histogram of JPEG Coefficients65' numeric
@attribute 'Histogram of JPEG Coefficients66' numeric
@attribute 'Histogram of JPEG Coefficients67' numeric
@attribute 'Histogram of JPEG Coefficients68' numeric
@attribute 'Histogram of JPEG Coefficients69' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients71' numeric
@attribute 'Histogram of JPEG Coefficients72' numeric
@attribute 'Histogram of JPEG Coefficients73' numeric
@attribute 'Histogram of JPEG Coefficients74' numeric
@attribute 'Histogram of JPEG Coefficients75' numeric
@attribute 'Histogram of JPEG Coefficients76' numeric
@attribute 'Histogram of JPEG Coefficients77' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients79' numeric
@attribute 'Histogram of JPEG Coefficients80' numeric
@attribute 'Histogram of JPEG Coefficients81' numeric
@attribute 'Histogram of JPEG Coefficients82' numeric
@attribute 'Histogram of JPEG Coefficients83' numeric
@attribute 'Histogram of JPEG Coefficients84' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients87' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients89' numeric
@attribute 'Histogram of JPEG Coefficients90' numeric
@attribute 'Histogram of JPEG Coefficients91' numeric
@attribute 'Histogram of JPEG Coefficients92' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients95' numeric
@attribute 'Histogram of JPEG Coefficients96' numeric
@attribute 'Histogram of JPEG Coefficients97' numeric
@attribute 'Histogram of JPEG Coefficients98' numeric
@attribute 'Histogram of JPEG Coefficients99' numeric
@attribute 'Histogram of JPEG Coefficients100' numeric
@attribute 'Histogram of JPEG Coefficients101' numeric
@attribute 'Histogram of JPEG Coefficients102' numeric
@attribute 'Histogram of JPEG Coefficients103' numeric
@attribute 'Histogram of JPEG Coefficients104' numeric
@attribute 'Histogram of JPEG Coefficients105' numeric
@attribute 'Histogram of JPEG Coefficients106' numeric
@attribute 'Histogram of JPEG Coefficients107' numeric
@attribute 'Histogram of JPEG Coefficients108' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients111' numeric
@attribute 'Histogram of JPEG Coefficients112' numeric
@attribute 'Histogram of JPEG Coefficients113' numeric
@attribute 'Histogram of JPEG Coefficients114' numeric
@attribute 'Histogram of JPEG Coefficients115' numeric
@attribute 'Histogram of JPEG Coefficients116' numeric
@attribute 'Histogram of JPEG Coefficients117' numeric
@attribute 'Histogram of JPEG Coefficients118' numeric
@attribute 'Histogram of JPEG Coefficients119' numeric
@attribute 'Histogram of JPEG Coefficients120' numeric
@attribute 'Histogram of JPEG Coefficients121' numeric
@attribute 'Histogram of JPEG Coefficients122' numeric
@attribute 'Histogram of JPEG Coefficients123' numeric
@attribute 'Histogram of JPEG Coefficients124' numeric
@attribute 'Histogram of JPEG Coefficients125' numeric
@attribute 'Histogram of JPEG Coefficients126' numeric
@attribute 'Histogram of JPEG Coefficients127' numeric
@attribute 'Histogram of JPEG Coefficients128' numeric
@attribute 'Histogram of JPEG Coefficients129' numeric
@attribute 'Histogram of JPEG Coefficients130' numeric
@attribute 'Histogram of JPEG Coefficients131' numeric
@attribute 'Histogram of JPEG Coefficients132' numeric
@attribute 'Histogram of JPEG Coefficients133' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute 'Histogram of JPEG Coefficients135' numeric
@attribute 'Histogram of JPEG Coefficients136' numeric
@attribute 'Histogram of JPEG Coefficients137' numeric
@attribute 'Histogram of JPEG Coefficients138' numeric
@attribute 'Histogram of JPEG Coefficients139' numeric
@attribute 'Histogram of JPEG Coefficients140' numeric
@attribute 'Histogram of JPEG Coefficients141' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients143' numeric
@attribute 'Histogram of JPEG Coefficients144' numeric
@attribute 'Histogram of JPEG Coefficients145' numeric
@attribute 'Histogram of JPEG Coefficients146' numeric
@attribute 'Histogram of JPEG Coefficients147' numeric
@attribute 'Histogram of JPEG Coefficients148' numeric
@attribute 'Histogram of JPEG Coefficients149' numeric
@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients151' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute 'Histogram of JPEG Coefficients153' numeric
@attribute 'Histogram of JPEG Coefficients154' numeric
@attribute 'Histogram of JPEG Coefficients155' numeric
@attribute 'Histogram of JPEG Coefficients156' numeric
@attribute 'Histogram of JPEG Coefficients157' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients159' numeric
@attribute 'Histogram of JPEG Coefficients160' numeric
@attribute 'Histogram of JPEG Coefficients161' numeric
@attribute 'Histogram of JPEG Coefficients162' numeric
@attribute 'Histogram of JPEG Coefficients163' numeric
@attribute 'Histogram of JPEG Coefficients164' numeric
@attribute 'Histogram of JPEG Coefficients165' numeric
@attribute 'Histogram of JPEG Coefficients166' numeric
@attribute 'Histogram of JPEG Coefficients167' numeric
@attribute 'Histogram of JPEG Coefficients168' numeric
@attribute 'Histogram of JPEG Coefficients169' numeric
@attribute 'Histogram of JPEG Coefficients170' numeric
@attribute 'Histogram of JPEG Coefficients171' numeric
@attribute 'Histogram of JPEG Coefficients172' numeric
@attribute 'Histogram of JPEG Coefficients173' numeric
@attribute 'Histogram of JPEG Coefficients174' numeric
@attribute 'Histogram of JPEG Coefficients175' numeric
@attribute 'Histogram of JPEG Coefficients176' numeric
@attribute 'Histogram of JPEG Coefficients177' numeric
@attribute 'Histogram of JPEG Coefficients178' numeric
@attribute 'Histogram of JPEG Coefficients179' numeric
@attribute 'Histogram of JPEG Coefficients180' numeric
@attribute 'Histogram of JPEG Coefficients181' numeric
@attribute 'Histogram of JPEG Coefficients182' numeric
@attribute 'Histogram of JPEG Coefficients183' numeric
@attribute 'Histogram of JPEG Coefficients184' numeric
@attribute 'Histogram of JPEG Coefficients185' numeric
@attribute 'Histogram of JPEG Coefficients186' numeric
@attribute 'Histogram of JPEG Coefficients187' numeric
@attribute 'Histogram of JPEG Coefficients188' numeric
@attribute 'Histogram of JPEG Coefficients189' numeric
@attribute 'Histogram of JPEG Coefficients190' numeric
@attribute 'Histogram of JPEG Coefficients191' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

40,255,207,66,50,31,42,43,181,162,71,14,10,5,9,22,113,45,17,7,10,6,8,19,35,8,2,9,5,3,5,13,22,6,1,4,3,4,4,14,15,1,1,2,4,6,20,15,13,1,4,2,2,17,10,19,33,5,9,7,11,6,16,22,141,255,103,67,65,92,94,161,156,83,5,9,24,45,37,115,40,1,0,7,17,23,19,76,14,5,3,11,29,24,25,54,18,15,2,5,9,15,19,56,42,15,6,4,5,14,23,49,39,11,10,14,11,19,14,50,53,27,21,23,24,38,43,59,136,255,108,63,57,74,71,131,142,53,6,6,18,31,32,70,21,3,0,2,10,16,17,58,19,3,2,10,23,9,16,44,20,12,2,4,5,4,17,44,46,9,4,3,5,10,20,37,29,10,4,7,11,10,22,41,46,16,15,16,20,19,37,52,K1
10,169,154,45,11,8,8,21,186,255,67,0,0,3,3,14,132,65,33,5,0,1,3,9,28,5,3,0,0,5,7,15,14,0,0,0,0,6,7,21,7,0,3,1,4,4,14,18,17,7,4,7,9,18,15,33,13,6,6,9,11,9,19,37,101,128,55,41,71,109,123,255,175,24,1,11,23,61,35,121,20,0,1,7,12,26,42,122,18,4,6,16,30,38,33,61,18,19,0,5,7,23,30,83,61,23,6,11,3,22,18,126,104,25,9,19,21,43,32,131,132,31,46,20,43,67,50,84,94,255,46,46,50,99,54,191,221,62,0,6,23,40,49,63,14,4,9,7,24,27,28,56,17,5,1,6,24,19,20,99,8,22,0,0,4,15,36,107,43,19,3,18,11,15,20,81,70,32,18,24,44,20,32,65,115,28,41,30,45,57,40,123,K1
0,215,170,50,11,11,15,25,255,209,52,3,1,4,10,13,171,53,15,3,2,5,3,12,65,5,0,1,1,4,5,11,26,0,0,3,6,3,10,10,14,1,2,2,4,6,18,13,10,1,4,1,7,9,11,25,13,4,16,5,11,13,14,25,71,202,49,46,49,76,105,179,255,77,5,6,13,57,52,79,30,2,0,3,3,16,23,63,25,1,1,12,6,15,17,58,11,3,5,5,15,10,49,53,53,4,5,2,7,26,32,49,44,17,10,24,12,17,37,39,136,30,31,36,29,25,41,25,30,250,42,48,36,62,66,212,255,52,5,1,17,47,39,93,39,0,1,7,11,14,20,90,47,9,0,19,7,18,26,83,14,15,0,10,6,6,25,125,70,15,8,25,12,19,20,35,41,17,7,11,10,13,22,78,94,19,38,11,46,27,33,100,K1
18,255,104,59,11,24,18,21,191,159,34,2,4,4,10,29,133,40,0,2,3,4,7,32,51,5,1,2,5,4,7,18,29,7,0,0,4,7,9,19,11,5,4,1,5,11,25,22,6,5,0,4,6,20,22,29,40,8,10,10,10,18,24,42,98,140,57,52,56,103,93,255,138,18,0,6,17,29,26,137,36,2,0,2,12,26,33,116,17,7,2,14,22,21,20,76,27,18,5,3,13,7,28,81,44,15,4,7,5,19,16,79,45,20,10,12,10,12,36,52,52,29,24,24,33,19,22,63,174,255,67,71,66,91,85,135,149,36,1,5,13,21,28,88,21,0,1,4,10,12,23,89,17,2,0,9,20,16,12,41,18,9,0,3,8,12,18,76,42,8,3,8,4,11,13,44,19,11,5,10,11,10,26,63,36,13,19,17,29,20,30,63,K1
0,255,193,104,12,8,7,20,167,161,76,6,1,1,5,7,107,40,13,1,1,4,7,6,38,3,0,2,1,0,7,5,17,1,0,0,2,2,5,12,10,1,1,0,9,4,12,10,0,2,3,2,4,10,10,20,15,1,9,4,10,16,7,20,118,255,62,66,66,99,67,122,127,38,1,3,14,23,31,37,11,0,0,2,11,11,23,37,4,2,0,3,19,6,26,49,9,6,1,1,7,4,23,41,33,9,1,4,5,7,27,40,22,9,9,9,6,8,23,28,29,11,22,26,20,14,18,33,58,255,102,71,56,105,118,93,133,52,1,3,12,21,13,47,5,0,0,1,10,9,8,22,8,1,0,5,18,9,7,31,9,5,0,2,2,3,16,32,15,5,1,3,4,10,19,29,8,8,6,13,3,5,16,24,17,13,8,15,21,14,17,31,K1
29,247,143,70,26,26,25,58,255,152,36,3,2,5,7,28,167,54,6,2,3,3,10,27,73,4,2,3,2,3,6,19,36,2,1,1,2,8,5,22,19,2,3,1,4,6,32,20,12,3,2,4,5,21,14,25,48,6,9,7,14,10,19,33,204,255,104,89,81,121,111,239,168,40,2,8,16,34,37,121,33,1,1,3,12,16,23,87,24,3,2,9,20,15,23,74,20,7,3,3,8,9,19,83,51,9,4,6,5,14,16,53,57,12,5,11,8,14,18,44,105,24,17,20,23,23,25,57,190,255,106,87,77,126,125,252,152,44,1,5,14,32,42,133,43,1,1,3,12,20,24,93,30,6,4,15,19,20,26,76,21,11,5,4,11,9,20,82,58,13,7,11,7,13,22,61,64,16,9,12,10,15,31,60,101,22,25,20,25,24,36,66,K1
66,255,135,81,23,29,30,60,238,113,29,2,3,6,7,24,116,31,3,2,4,4,7,22,73,2,2,4,2,3,5,15,24,2,1,2,2,8,5,21,28,2,1,2,3,4,28,17,9,1,2,3,3,18,10,20,73,6,8,7,12,9,15,28,226,255,96,83,70,96,85,183,129,27,1,4,10,24,28,83,21,1,0,2,6,11,19,69,21,2,2,8,10,12,18,55,16,7,2,3,7,9,17,60,43,7,3,6,5,11,12,38,44,9,5,8,6,9,13,34,82,16,15,14,19,13,16,42,224,255,99,88,73,112,104,189,109,18,1,4,10,25,34,98,25,1,1,4,10,15,23,75,30,3,3,11,17,14,20,67,23,7,2,4,8,10,20,69,62,9,5,8,6,15,18,54,56,12,7,10,9,11,20,49,98,18,16,19,22,20,26,58,K1
138,255,191,104,78,45,46,55,139,135,47,9,7,6,10,16,111,55,14,1,3,2,7,13,39,12,1,2,1,1,5,9,21,8,2,1,2,9,7,14,16,2,4,1,2,4,17,11,9,3,2,3,2,11,11,20,23,4,9,4,7,8,17,19,214,255,130,81,90,107,95,177,110,59,2,7,14,23,35,90,31,1,0,2,6,10,19,61,12,4,2,3,12,8,13,51,17,25,2,2,9,8,21,56,31,14,1,3,3,9,12,41,26,15,3,6,4,7,16,33,40,15,11,10,18,21,29,36,207,255,126,89,92,104,100,116,124,61,1,5,11,22,33,53,42,1,0,1,8,12,18,43,18,4,0,6,17,8,13,30,23,15,1,3,9,9,14,38,40,11,2,3,6,4,11,21,37,10,4,3,8,6,10,21,34,9,6,12,11,12,19,33,K1
11,255,153,64,33,12,14,28,189,165,54,6,3,5,6,14,143,58,11,1,2,3,7,12,57,10,1,3,1,2,5,9,30,3,0,0,1,2,5,11,12,2,1,1,2,4,14,10,3,1,1,1,2,9,10,16,31,4,6,6,8,8,12,23,50,255,114,60,60,103,109,197,125,81,4,5,17,30,48,102,32,3,0,3,6,18,23,72,17,4,3,7,10,15,26,50,13,11,2,3,6,9,25,65,36,11,2,8,5,13,19,44,26,10,5,7,7,10,13,35,71,18,12,14,18,18,26,47,71,255,140,72,69,96,110,196,120,71,3,6,11,31,42,77,32,1,0,6,6,18,30,72,17,5,4,11,8,15,30,58,14,13,4,4,7,10,25,64,29,11,4,9,8,12,22,45,17,9,6,8,9,14,21,30,49,24,13,18,31,22,29,49,K1
32,255,146,63,33,20,23,34,213,165,48,9,3,6,5,17,145,62,11,3,4,4,8,13,64,10,3,3,1,4,5,12,28,3,1,1,1,5,4,11,18,2,1,1,1,5,12,15,14,2,2,3,3,8,8,14,29,4,8,7,7,8,15,26,132,255,99,69,62,91,100,183,126,76,4,7,14,39,29,90,38,2,0,3,6,18,19,81,19,4,2,7,11,14,21,52,11,9,1,3,7,8,17,48,40,8,3,5,4,11,15,43,51,12,7,10,8,12,16,41,80,18,17,20,20,17,27,44,129,255,120,80,75,122,107,208,136,84,3,7,20,40,42,101,34,2,1,6,11,20,32,71,35,6,6,18,18,17,21,67,15,12,3,3,10,9,24,58,54,13,9,10,8,14,19,54,47,15,10,10,12,14,21,47,105,26,25,20,28,17,35,68,K1
57,255,161,81,48,26,27,52,190,137,43,6,5,6,6,16,119,42,8,2,5,3,6,16,61,7,1,3,2,2,4,11,24,2,1,1,1,3,5,11,19,2,1,1,2,3,11,13,10,1,1,2,3,10,8,16,36,4,4,4,5,6,11,20,164,255,123,70,69,85,75,155,114,53,1,4,8,23,27,63,21,1,0,3,7,12,18,49,17,2,1,7,12,11,15,38,12,7,1,2,6,7,13,44,31,8,3,5,3,8,16,31,29,10,5,6,6,10,18,33,70,13,14,13,17,15,17,35,150,255,105,74,64,91,77,151,103,47,1,3,11,25,27,67,25,1,0,4,10,14,18,58,20,3,2,8,16,14,17,47,10,8,3,2,8,7,19,46,36,10,3,6,5,9,15,44,33,8,6,7,7,12,19,38,58,14,14,14,20,17,22,49,K1
117,255,166,95,56,55,53,86,146,93,28,4,3,4,5,23,80,28,6,2,4,4,8,17,45,4,1,3,2,2,4,14,21,3,1,1,2,4,4,14,12,2,1,1,2,4,12,13,7,2,2,2,3,8,8,16,27,4,5,5,7,7,11,20,249,255,115,99,86,119,104,209,87,26,1,3,9,21,24,86,15,1,0,2,8,12,18,60,13,2,1,7,13,9,14,50,13,10,2,2,5,6,14,49,29,9,3,4,3,8,11,36,30,10,5,7,6,9,12,30,46,12,12,13,15,13,19,38,255,246,122,95,85,114,103,174,73,25,1,3,10,21,25,67,12,0,0,3,7,12,15,51,10,2,1,7,13,8,13,42,10,7,2,2,6,6,15,43,27,7,3,5,4,6,10,31,21,7,6,6,7,8,13,33,36,12,12,14,15,13,19,41,K1
255,219,113,92,63,60,47,73,61,33,5,1,2,2,2,10,26,7,1,0,2,1,2,10,22,1,0,1,1,0,1,6,8,1,0,0,1,5,1,9,10,0,1,0,2,1,22,4,3,0,0,0,0,14,2,9,23,1,4,1,6,2,5,7,255,154,89,70,59,59,49,58,27,7,0,1,3,6,5,20,5,0,0,0,2,3,4,12,3,0,0,1,4,2,3,10,3,2,0,0,1,1,3,10,8,1,0,0,0,1,2,7,5,2,1,1,1,2,4,7,9,3,3,2,3,3,4,8,255,160,90,70,59,58,46,55,30,8,0,1,3,6,6,20,5,0,0,0,2,2,2,13,4,0,0,1,3,2,2,10,3,2,0,0,1,1,3,10,8,1,0,0,0,1,2,8,4,1,1,1,1,1,3,7,8,1,2,3,3,3,4,8,K1
