@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-grayscale/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

7,18,13,11,14,12,16,14,16,15,15,16,17,15,13,14,16,16,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
5,16,17,12,15,14,16,15,15,15,16,16,16,16,15,16,15,15,15,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K1
12,9,16,16,16,16,14,15,14,16,15,15,13,16,14,16,16,17,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
5,16,16,12,16,12,15,16,15,15,15,15,15,15,13,15,15,15,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
14,16,22,17,17,8,15,19,15,21,22,16,22,14,13,15,14,15,19,16,19,32,16,16,16,16,16,32,16,16,16,16,16,K1
14,18,10,20,15,13,15,12,17,14,19,16,15,15,14,16,17,16,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
18,20,21,21,17,21,18,17,14,15,24,14,18,15,13,15,15,15,14,13,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
41,29,18,24,15,23,18,14,21,16,16,15,7,15,16,15,16,10,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
22,20,19,19,15,15,16,17,17,15,17,16,13,17,11,14,13,15,16,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K1
17,17,20,13,13,15,16,17,12,16,18,12,13,19,13,14,16,15,15,13,17,32,16,16,16,16,16,32,16,16,16,16,16,K1
15,17,22,12,18,15,15,20,14,15,18,14,14,17,11,15,16,16,14,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
9,17,16,17,18,16,15,15,11,15,19,17,16,14,12,14,15,14,15,15,14,32,16,16,16,16,16,32,16,16,16,16,16,K1
50,13,21,26,14,29,18,10,17,19,18,17,12,16,18,16,16,15,12,16,18,32,16,16,16,16,16,32,16,16,16,16,16,K1
11,17,8,14,15,11,16,15,16,13,19,16,20,16,13,15,17,15,17,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K1
11,14,9,12,17,11,13,14,16,15,17,15,19,18,14,14,15,15,17,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
10,12,17,11,14,9,18,15,17,16,19,16,19,17,11,18,14,16,15,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
15,17,20,24,15,24,16,15,15,19,20,16,12,16,16,16,16,15,15,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K1
7,14,20,16,14,16,15,17,15,14,18,16,15,16,13,16,15,16,14,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K1
6,16,16,15,16,14,15,16,16,15,17,15,16,16,15,16,15,16,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
5,16,15,12,16,13,15,16,15,15,16,15,16,15,14,16,15,16,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
5,17,15,12,15,13,15,15,15,16,16,15,17,15,15,15,15,15,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
10,12,18,9,17,10,17,15,13,15,18,16,20,16,13,15,16,15,16,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
22,9,29,26,12,18,16,18,14,22,18,19,15,16,16,17,16,17,13,20,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
28,25,29,24,19,22,19,19,10,23,19,12,11,15,18,17,15,11,13,14,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
4,16,15,13,16,14,15,15,15,15,16,15,16,15,15,15,15,16,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
33,10,29,19,15,26,14,20,17,21,17,12,7,18,20,16,16,19,12,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
37,16,29,18,16,28,15,20,15,24,19,15,7,15,21,14,13,15,13,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K1
4,17,16,14,16,13,15,15,15,16,17,16,15,15,14,15,15,15,15,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
4,17,16,14,17,17,17,16,15,15,17,16,16,16,15,16,16,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
7,16,16,11,15,11,15,16,14,15,18,16,19,15,14,15,16,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
8,9,19,14,15,13,13,15,15,16,16,16,14,14,13,14,15,17,15,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
11,21,15,18,16,12,18,14,16,16,17,15,12,17,14,15,16,15,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
14,14,15,19,14,17,11,14,19,15,17,15,13,16,14,14,16,14,15,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
15,29,16,17,17,26,23,15,17,16,13,16,15,13,18,21,14,14,16,14,17,32,16,16,16,16,16,32,16,16,16,16,16,K1
22,15,16,7,16,5,20,18,17,14,16,17,22,15,17,14,14,12,17,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
42,6,28,22,23,27,14,11,10,25,17,20,7,18,19,17,15,14,17,19,13,32,16,16,16,16,16,32,16,16,16,16,16,K1
10,5,14,13,20,24,12,13,20,20,18,12,7,15,13,17,17,20,17,15,19,32,16,16,16,16,16,32,16,16,16,16,16,K1
10,15,14,7,15,11,17,15,16,13,18,14,18,16,14,15,15,15,18,13,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
11,17,15,8,16,8,15,14,16,16,16,15,18,15,13,15,15,15,17,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
8,15,14,15,14,24,16,13,18,18,13,14,11,15,17,16,16,16,18,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
5,15,18,14,15,15,16,16,15,16,16,15,16,16,15,16,15,15,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
4,16,16,14,15,14,16,16,15,16,16,16,16,15,15,15,15,16,15,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K1
4,16,16,13,15,13,16,16,16,15,16,16,17,16,15,15,15,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K1
6,15,13,13,16,14,15,14,15,16,17,15,18,16,16,15,14,15,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
9,11,24,18,11,11,18,15,14,18,17,15,15,21,13,17,12,18,15,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,19,14,15,16,14,18,17,16,14,17,15,16,16,16,15,16,13,17,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,14,17,13,16,17,14,16,16,15,16,16,15,16,15,15,15,16,14,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,16,17,15,16,16,15,16,15,16,17,15,16,15,15,15,15,15,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,20,16,12,13,18,17,15,20,11,19,12,18,14,18,15,14,18,12,17,13,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,14,17,12,14,15,15,18,17,14,18,16,17,15,15,16,15,17,14,15,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,14,18,12,15,12,17,15,17,14,17,16,19,15,15,15,15,14,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,13,13,14,13,14,17,16,14,16,16,16,16,15,15,15,15,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,14,17,12,15,12,17,15,17,15,17,15,19,15,15,15,15,14,15,15,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,15,15,13,15,12,16,16,16,13,16,15,19,15,15,15,14,16,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,15,16,13,13,15,16,16,15,14,15,17,18,14,16,16,14,16,17,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
8,11,9,21,21,14,14,21,12,10,22,18,13,14,17,16,15,15,18,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,17,18,16,15,20,18,17,11,14,19,15,12,17,16,16,15,14,16,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
25,17,28,23,12,15,18,20,13,20,25,13,21,16,18,17,18,14,12,17,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,21,13,15,12,19,17,13,19,17,17,16,16,15,16,15,16,16,17,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
29,17,27,24,11,17,16,16,16,22,25,16,20,15,18,15,16,15,15,17,20,32,16,16,16,16,16,32,16,16,16,16,16,K2
8,20,10,13,16,20,14,13,15,17,16,13,13,18,15,14,16,14,19,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
