@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.GaborFilter-D../irteera/convert-grayscale/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

4.018582,0.04485,4.019933,0.044865,4.019933,0.044865,4.018582,0.04485,4.019933,0.044865,4.019933,0.044865,4.153004,0.046351,4.1544,0.046366,4.1544,0.046366,4.153004,0.046351,4.1544,0.046366,4.1544,0.046366,4.149164,0.046308,4.150559,0.046323,4.150559,0.046323,4.149164,0.046308,4.150559,0.046323,4.150559,0.046323,4.138284,0.046186,4.139675,0.046202,4.139675,0.046202,4.138284,0.046186,4.139675,0.046202,4.139675,0.046202,4.107354,0.045841,4.108735,0.045857,4.108735,0.045857,4.107354,0.045841,4.108735,0.045857,4.108735,0.045857,K1
2.487355,0.023767,2.488192,0.023775,2.488192,0.023775,2.487355,0.023767,2.488192,0.023775,2.488192,0.023775,2.570558,0.024562,2.571422,0.02457,2.571422,0.02457,2.570558,0.024562,2.571422,0.02457,2.571422,0.02457,2.568181,0.024539,2.569045,0.024547,2.569045,0.024547,2.568181,0.024539,2.569045,0.024547,2.569045,0.024547,2.561447,0.024475,2.562308,0.024483,2.562308,0.024483,2.561447,0.024475,2.562308,0.024483,2.562308,0.024483,2.542302,0.024292,2.543157,0.0243,2.543157,0.0243,2.542302,0.024292,2.543157,0.0243,2.543157,0.0243,K1
6.140004,0.038291,6.142068,0.038304,6.142068,0.038304,6.140004,0.038291,6.142068,0.038304,6.142068,0.038304,6.345389,0.039572,6.347522,0.039586,6.347522,0.039586,6.345389,0.039572,6.347522,0.039586,6.347522,0.039586,6.339522,0.039536,6.341653,0.039549,6.341653,0.039549,6.339522,0.039536,6.341653,0.039549,6.341653,0.039549,6.322898,0.039432,6.325023,0.039445,6.325023,0.039445,6.322898,0.039432,6.325023,0.039445,6.325023,0.039445,6.275639,0.039137,6.277749,0.03915,6.277749,0.03915,6.275639,0.039137,6.277749,0.03915,6.277749,0.03915,K1
3.171385,0.02821,3.172451,0.028219,3.172451,0.028219,3.171385,0.02821,3.172451,0.028219,3.172451,0.028219,3.277468,0.029153,3.27857,0.029163,3.27857,0.029163,3.277468,0.029153,3.27857,0.029163,3.27857,0.029163,3.274438,0.029126,3.275539,0.029136,3.275539,0.029136,3.274438,0.029126,3.275539,0.029136,3.275539,0.029136,3.265851,0.02905,3.266949,0.02906,3.266949,0.02906,3.265851,0.02905,3.266949,0.02906,3.266949,0.02906,3.241442,0.028833,3.242532,0.028842,3.242532,0.028842,3.241442,0.028833,3.242532,0.028842,3.242532,0.028842,K1
6.524345,0.055331,6.526538,0.055349,6.526538,0.055349,6.524345,0.055331,6.526538,0.055349,6.526538,0.055349,6.742585,0.057181,6.744852,0.057201,6.744852,0.057201,6.742585,0.057181,6.744852,0.057201,6.744852,0.057201,6.736351,0.057129,6.738616,0.057148,6.738616,0.057148,6.736351,0.057129,6.738616,0.057148,6.738616,0.057148,6.718687,0.056979,6.720945,0.056998,6.720945,0.056998,6.718687,0.056979,6.720945,0.056998,6.720945,0.056998,6.66847,0.056553,6.670712,0.056572,6.670712,0.056572,6.66847,0.056553,6.670712,0.056572,6.670712,0.056572,K1
6.895427,0.059147,6.897745,0.059167,6.897745,0.059167,6.895427,0.059147,6.897745,0.059167,6.897745,0.059167,7.126081,0.061126,7.128477,0.061146,7.128477,0.061146,7.126081,0.061126,7.128477,0.061146,7.128477,0.061146,7.119492,0.061069,7.121885,0.06109,7.121885,0.06109,7.119492,0.061069,7.121885,0.06109,7.121885,0.06109,7.100823,0.060909,7.10321,0.06093,7.10321,0.06093,7.100823,0.060909,7.10321,0.06093,7.10321,0.06093,7.04775,0.060454,7.05012,0.060474,7.05012,0.060474,7.04775,0.060454,7.05012,0.060474,7.05012,0.060474,K1
7.300169,0.065467,7.302623,0.065489,7.302623,0.065489,7.300169,0.065467,7.302623,0.065489,7.302623,0.065489,7.544362,0.067657,7.546898,0.06768,7.546898,0.06768,7.544362,0.067657,7.546898,0.06768,7.546898,0.06768,7.537386,0.067594,7.53992,0.067617,7.53992,0.067617,7.537386,0.067594,7.53992,0.067617,7.53992,0.067617,7.517621,0.067417,7.520148,0.06744,7.520148,0.06744,7.517621,0.067417,7.520148,0.06744,7.520148,0.06744,7.461433,0.066913,7.463941,0.066936,7.463941,0.066936,7.461433,0.066913,7.463941,0.066936,7.463941,0.066936,K1
11.331571,0.103356,11.33538,0.103391,11.33538,0.103391,11.331571,0.103356,11.33538,0.103391,11.33538,0.103391,11.710614,0.106814,11.714551,0.10685,11.714551,0.10685,11.710614,0.106814,11.714551,0.10685,11.714551,0.10685,11.699787,0.106715,11.703719,0.106751,11.703719,0.106751,11.699787,0.106715,11.703719,0.106751,11.703719,0.106751,11.669106,0.106435,11.673029,0.106471,11.673029,0.106471,11.669106,0.106435,11.673029,0.106471,11.673029,0.106471,11.58189,0.10564,11.585783,0.105675,11.585783,0.105675,11.58189,0.10564,11.585783,0.105675,11.585783,0.105675,K1
8.60194,0.064797,8.604831,0.064818,8.604831,0.064818,8.60194,0.064797,8.604831,0.064818,8.604831,0.064818,8.889677,0.066964,8.892665,0.066987,8.892665,0.066987,8.889677,0.066964,8.892665,0.066987,8.892665,0.066987,8.881457,0.066902,8.884443,0.066925,8.884443,0.066925,8.881457,0.066902,8.884443,0.066925,8.884443,0.066925,8.858168,0.066727,8.861145,0.066749,8.861145,0.066749,8.858168,0.066727,8.861145,0.066749,8.861145,0.066749,8.79196,0.066228,8.794916,0.06625,8.794916,0.06625,8.79196,0.066228,8.794916,0.06625,8.794916,0.06625,K1
