@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D../irteera/convert-grayscale/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Histogram of JPEG Coefficients0' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients2' numeric
@attribute 'Histogram of JPEG Coefficients3' numeric
@attribute 'Histogram of JPEG Coefficients4' numeric
@attribute 'Histogram of JPEG Coefficients5' numeric
@attribute 'Histogram of JPEG Coefficients6' numeric
@attribute 'Histogram of JPEG Coefficients7' numeric
@attribute 'Histogram of JPEG Coefficients8' numeric
@attribute 'Histogram of JPEG Coefficients9' numeric
@attribute 'Histogram of JPEG Coefficients10' numeric
@attribute 'Histogram of JPEG Coefficients11' numeric
@attribute 'Histogram of JPEG Coefficients12' numeric
@attribute 'Histogram of JPEG Coefficients13' numeric
@attribute 'Histogram of JPEG Coefficients14' numeric
@attribute 'Histogram of JPEG Coefficients15' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients17' numeric
@attribute 'Histogram of JPEG Coefficients18' numeric
@attribute 'Histogram of JPEG Coefficients19' numeric
@attribute 'Histogram of JPEG Coefficients20' numeric
@attribute 'Histogram of JPEG Coefficients21' numeric
@attribute 'Histogram of JPEG Coefficients22' numeric
@attribute 'Histogram of JPEG Coefficients23' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients25' numeric
@attribute 'Histogram of JPEG Coefficients26' numeric
@attribute 'Histogram of JPEG Coefficients27' numeric
@attribute 'Histogram of JPEG Coefficients28' numeric
@attribute 'Histogram of JPEG Coefficients29' numeric
@attribute 'Histogram of JPEG Coefficients30' numeric
@attribute 'Histogram of JPEG Coefficients31' numeric
@attribute 'Histogram of JPEG Coefficients32' numeric
@attribute 'Histogram of JPEG Coefficients33' numeric
@attribute 'Histogram of JPEG Coefficients34' numeric
@attribute 'Histogram of JPEG Coefficients35' numeric
@attribute 'Histogram of JPEG Coefficients36' numeric
@attribute 'Histogram of JPEG Coefficients37' numeric
@attribute 'Histogram of JPEG Coefficients38' numeric
@attribute 'Histogram of JPEG Coefficients39' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients41' numeric
@attribute 'Histogram of JPEG Coefficients42' numeric
@attribute 'Histogram of JPEG Coefficients43' numeric
@attribute 'Histogram of JPEG Coefficients44' numeric
@attribute 'Histogram of JPEG Coefficients45' numeric
@attribute 'Histogram of JPEG Coefficients46' numeric
@attribute 'Histogram of JPEG Coefficients47' numeric
@attribute 'Histogram of JPEG Coefficients48' numeric
@attribute 'Histogram of JPEG Coefficients49' numeric
@attribute 'Histogram of JPEG Coefficients50' numeric
@attribute 'Histogram of JPEG Coefficients51' numeric
@attribute 'Histogram of JPEG Coefficients52' numeric
@attribute 'Histogram of JPEG Coefficients53' numeric
@attribute 'Histogram of JPEG Coefficients54' numeric
@attribute 'Histogram of JPEG Coefficients55' numeric
@attribute 'Histogram of JPEG Coefficients56' numeric
@attribute 'Histogram of JPEG Coefficients57' numeric
@attribute 'Histogram of JPEG Coefficients58' numeric
@attribute 'Histogram of JPEG Coefficients59' numeric
@attribute 'Histogram of JPEG Coefficients60' numeric
@attribute 'Histogram of JPEG Coefficients61' numeric
@attribute 'Histogram of JPEG Coefficients62' numeric
@attribute 'Histogram of JPEG Coefficients63' numeric
@attribute 'Histogram of JPEG Coefficients64' numeric
@attribute 'Histogram of JPEG Coefficients65' numeric
@attribute 'Histogram of JPEG Coefficients66' numeric
@attribute 'Histogram of JPEG Coefficients67' numeric
@attribute 'Histogram of JPEG Coefficients68' numeric
@attribute 'Histogram of JPEG Coefficients69' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients71' numeric
@attribute 'Histogram of JPEG Coefficients72' numeric
@attribute 'Histogram of JPEG Coefficients73' numeric
@attribute 'Histogram of JPEG Coefficients74' numeric
@attribute 'Histogram of JPEG Coefficients75' numeric
@attribute 'Histogram of JPEG Coefficients76' numeric
@attribute 'Histogram of JPEG Coefficients77' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients79' numeric
@attribute 'Histogram of JPEG Coefficients80' numeric
@attribute 'Histogram of JPEG Coefficients81' numeric
@attribute 'Histogram of JPEG Coefficients82' numeric
@attribute 'Histogram of JPEG Coefficients83' numeric
@attribute 'Histogram of JPEG Coefficients84' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients87' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients89' numeric
@attribute 'Histogram of JPEG Coefficients90' numeric
@attribute 'Histogram of JPEG Coefficients91' numeric
@attribute 'Histogram of JPEG Coefficients92' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients95' numeric
@attribute 'Histogram of JPEG Coefficients96' numeric
@attribute 'Histogram of JPEG Coefficients97' numeric
@attribute 'Histogram of JPEG Coefficients98' numeric
@attribute 'Histogram of JPEG Coefficients99' numeric
@attribute 'Histogram of JPEG Coefficients100' numeric
@attribute 'Histogram of JPEG Coefficients101' numeric
@attribute 'Histogram of JPEG Coefficients102' numeric
@attribute 'Histogram of JPEG Coefficients103' numeric
@attribute 'Histogram of JPEG Coefficients104' numeric
@attribute 'Histogram of JPEG Coefficients105' numeric
@attribute 'Histogram of JPEG Coefficients106' numeric
@attribute 'Histogram of JPEG Coefficients107' numeric
@attribute 'Histogram of JPEG Coefficients108' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients111' numeric
@attribute 'Histogram of JPEG Coefficients112' numeric
@attribute 'Histogram of JPEG Coefficients113' numeric
@attribute 'Histogram of JPEG Coefficients114' numeric
@attribute 'Histogram of JPEG Coefficients115' numeric
@attribute 'Histogram of JPEG Coefficients116' numeric
@attribute 'Histogram of JPEG Coefficients117' numeric
@attribute 'Histogram of JPEG Coefficients118' numeric
@attribute 'Histogram of JPEG Coefficients119' numeric
@attribute 'Histogram of JPEG Coefficients120' numeric
@attribute 'Histogram of JPEG Coefficients121' numeric
@attribute 'Histogram of JPEG Coefficients122' numeric
@attribute 'Histogram of JPEG Coefficients123' numeric
@attribute 'Histogram of JPEG Coefficients124' numeric
@attribute 'Histogram of JPEG Coefficients125' numeric
@attribute 'Histogram of JPEG Coefficients126' numeric
@attribute 'Histogram of JPEG Coefficients127' numeric
@attribute 'Histogram of JPEG Coefficients128' numeric
@attribute 'Histogram of JPEG Coefficients129' numeric
@attribute 'Histogram of JPEG Coefficients130' numeric
@attribute 'Histogram of JPEG Coefficients131' numeric
@attribute 'Histogram of JPEG Coefficients132' numeric
@attribute 'Histogram of JPEG Coefficients133' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute 'Histogram of JPEG Coefficients135' numeric
@attribute 'Histogram of JPEG Coefficients136' numeric
@attribute 'Histogram of JPEG Coefficients137' numeric
@attribute 'Histogram of JPEG Coefficients138' numeric
@attribute 'Histogram of JPEG Coefficients139' numeric
@attribute 'Histogram of JPEG Coefficients140' numeric
@attribute 'Histogram of JPEG Coefficients141' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients143' numeric
@attribute 'Histogram of JPEG Coefficients144' numeric
@attribute 'Histogram of JPEG Coefficients145' numeric
@attribute 'Histogram of JPEG Coefficients146' numeric
@attribute 'Histogram of JPEG Coefficients147' numeric
@attribute 'Histogram of JPEG Coefficients148' numeric
@attribute 'Histogram of JPEG Coefficients149' numeric
@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients151' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute 'Histogram of JPEG Coefficients153' numeric
@attribute 'Histogram of JPEG Coefficients154' numeric
@attribute 'Histogram of JPEG Coefficients155' numeric
@attribute 'Histogram of JPEG Coefficients156' numeric
@attribute 'Histogram of JPEG Coefficients157' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients159' numeric
@attribute 'Histogram of JPEG Coefficients160' numeric
@attribute 'Histogram of JPEG Coefficients161' numeric
@attribute 'Histogram of JPEG Coefficients162' numeric
@attribute 'Histogram of JPEG Coefficients163' numeric
@attribute 'Histogram of JPEG Coefficients164' numeric
@attribute 'Histogram of JPEG Coefficients165' numeric
@attribute 'Histogram of JPEG Coefficients166' numeric
@attribute 'Histogram of JPEG Coefficients167' numeric
@attribute 'Histogram of JPEG Coefficients168' numeric
@attribute 'Histogram of JPEG Coefficients169' numeric
@attribute 'Histogram of JPEG Coefficients170' numeric
@attribute 'Histogram of JPEG Coefficients171' numeric
@attribute 'Histogram of JPEG Coefficients172' numeric
@attribute 'Histogram of JPEG Coefficients173' numeric
@attribute 'Histogram of JPEG Coefficients174' numeric
@attribute 'Histogram of JPEG Coefficients175' numeric
@attribute 'Histogram of JPEG Coefficients176' numeric
@attribute 'Histogram of JPEG Coefficients177' numeric
@attribute 'Histogram of JPEG Coefficients178' numeric
@attribute 'Histogram of JPEG Coefficients179' numeric
@attribute 'Histogram of JPEG Coefficients180' numeric
@attribute 'Histogram of JPEG Coefficients181' numeric
@attribute 'Histogram of JPEG Coefficients182' numeric
@attribute 'Histogram of JPEG Coefficients183' numeric
@attribute 'Histogram of JPEG Coefficients184' numeric
@attribute 'Histogram of JPEG Coefficients185' numeric
@attribute 'Histogram of JPEG Coefficients186' numeric
@attribute 'Histogram of JPEG Coefficients187' numeric
@attribute 'Histogram of JPEG Coefficients188' numeric
@attribute 'Histogram of JPEG Coefficients189' numeric
@attribute 'Histogram of JPEG Coefficients190' numeric
@attribute 'Histogram of JPEG Coefficients191' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

113,248,255,134,79,48,46,85,139,176,107,39,14,3,4,7,126,86,50,7,1,1,3,10,78,43,16,9,0,0,2,7,42,13,2,0,2,4,2,6,25,0,0,0,0,2,15,5,9,1,1,1,4,8,5,11,32,5,5,5,4,3,6,15,255,127,84,63,51,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,128,87,73,68,59,66,81,0,0,0,4,8,21,25,46,2,0,0,3,8,11,15,36,1,0,1,4,11,10,21,35,5,5,5,4,7,11,17,33,7,6,6,4,9,24,36,33,18,10,9,12,13,29,51,51,25,18,12,26,24,37,46,48,K1
52,163,206,120,42,36,12,39,100,255,178,51,5,1,0,5,136,132,135,58,0,3,12,10,86,57,51,21,0,0,4,3,34,36,9,0,0,0,0,5,21,0,0,1,3,1,12,2,1,0,0,0,3,7,12,14,3,3,4,2,7,5,12,20,255,127,85,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,128,87,68,60,97,117,96,0,1,3,5,26,20,77,65,1,2,5,10,34,27,77,65,5,1,1,20,33,36,59,78,6,9,12,29,25,23,53,73,13,16,17,18,21,53,81,80,38,28,29,52,51,53,118,138,83,75,94,78,113,110,133,166,K1
30,246,255,109,60,17,20,28,226,253,131,41,8,1,1,4,202,151,121,15,1,2,9,8,126,42,24,5,0,1,5,14,92,17,0,0,1,4,3,9,16,0,0,2,0,4,13,10,5,0,2,4,4,13,7,17,17,7,8,18,11,11,14,25,255,127,85,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,132,100,89,94,106,128,210,1,5,14,2,37,52,134,174,12,4,13,21,35,47,80,135,12,14,8,38,25,27,42,108,19,44,19,38,5,42,80,92,50,35,14,27,23,61,126,65,77,56,40,54,67,75,152,163,88,93,63,102,93,110,203,223,K1
82,255,127,78,22,18,22,22,181,157,71,4,3,0,2,10,178,97,18,0,0,2,6,10,125,40,0,0,0,1,2,10,54,2,0,0,7,12,4,9,35,0,1,0,0,2,23,11,13,3,3,4,3,16,16,19,42,6,10,10,12,6,20,29,255,127,85,63,51,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,130,88,69,59,56,58,60,3,3,1,3,11,10,19,23,7,3,3,4,18,12,15,9,10,2,5,11,34,14,9,24,10,10,5,2,13,16,15,31,16,19,18,5,10,15,32,45,35,23,32,21,12,15,41,57,37,29,46,29,21,34,33,68,K1
3,212,255,147,46,23,6,21,84,170,145,42,10,3,1,14,115,86,45,25,0,2,3,5,52,18,6,3,1,2,2,4,32,13,2,0,0,3,7,7,9,2,0,0,1,8,10,5,3,1,1,0,5,6,7,16,1,3,3,6,5,9,10,14,255,127,85,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,63,62,72,119,135,159,181,0,4,11,14,53,72,125,255,0,3,4,23,42,70,127,123,0,3,11,19,48,27,93,113,2,5,14,23,26,52,120,140,8,15,4,10,15,46,59,135,10,27,32,39,41,51,91,171,31,47,60,80,70,152,147,164,K1
67,255,192,102,53,22,28,39,243,202,94,31,5,3,4,11,238,127,59,4,3,2,11,9,165,83,21,2,1,2,5,9,95,29,2,1,1,5,6,11,42,2,2,2,2,5,23,12,12,2,3,3,7,14,13,22,31,7,9,8,13,12,21,34,255,127,85,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,129,92,74,76,69,78,97,4,3,4,8,17,26,39,75,9,4,4,7,15,16,30,54,10,11,11,12,14,12,30,52,24,28,17,11,14,16,34,49,32,34,20,18,16,21,37,56,43,52,40,32,28,39,62,81,76,84,77,58,54,54,75,104,K1
93,255,169,119,59,31,32,45,211,141,61,21,5,3,3,10,154,71,31,7,2,2,12,8,129,34,10,3,1,1,4,9,69,14,1,1,1,6,6,10,50,3,2,1,3,3,22,9,17,2,4,2,4,14,16,18,57,8,7,11,13,8,19,32,255,127,85,63,51,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,129,91,72,75,72,73,81,5,2,3,5,15,22,30,51,9,4,3,6,17,15,26,38,11,6,6,9,20,15,24,33,22,17,9,6,11,15,24,35,28,19,11,11,11,16,31,39,34,32,21,17,21,27,43,59,52,46,38,33,33,36,52,64,K1
248,255,235,151,98,56,56,52,83,145,100,32,11,1,2,3,122,93,55,26,1,1,9,4,84,45,11,7,1,0,3,3,59,14,3,3,3,3,1,2,26,6,1,0,1,2,10,4,5,2,1,2,1,5,6,14,13,3,5,3,6,4,9,14,255,127,85,63,51,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,130,89,68,69,55,59,66,1,0,2,1,10,15,27,29,2,0,2,9,11,15,18,26,3,3,2,5,7,7,13,22,7,6,3,9,6,11,18,22,15,6,2,9,6,13,25,30,11,14,9,10,12,15,35,43,20,15,13,15,15,28,44,56,K1
38,255,199,105,62,26,31,32,151,187,100,34,13,2,1,6,185,123,76,21,1,1,10,5,142,82,32,5,0,1,2,4,74,34,8,0,1,2,3,5,50,15,0,0,1,2,11,4,12,1,1,3,1,8,9,7,9,4,2,4,9,5,9,17,255,127,85,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,134,96,83,91,112,145,202,1,2,2,10,28,52,96,115,3,6,9,13,20,29,63,93,2,14,9,14,32,29,60,130,16,26,20,29,28,34,68,103,31,31,29,34,29,51,85,137,42,77,46,43,51,88,128,170,96,114,88,79,90,116,179,209,K1
88,255,208,119,64,37,39,32,172,191,100,36,14,2,2,6,188,121,71,19,2,2,5,6,120,72,29,6,1,1,3,6,78,41,3,0,1,2,4,8,32,9,1,1,0,2,14,5,8,1,1,2,3,7,10,10,30,4,3,6,7,5,9,16,255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,129,91,76,74,77,94,114,1,2,2,5,17,27,51,74,4,6,3,8,15,20,39,66,7,7,8,12,21,19,30,71,17,18,15,11,16,18,36,60,22,20,18,17,22,27,49,67,29,46,39,31,27,34,73,90,51,70,58,52,51,58,77,110,K1
88,255,205,146,107,43,45,53,159,158,89,38,12,2,3,7,122,79,47,14,6,2,7,7,103,40,15,5,0,1,3,5,66,19,2,1,2,3,3,6,29,5,1,0,1,2,13,7,10,1,3,2,3,8,7,9,21,4,4,8,7,5,9,19,255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,133,97,80,97,93,114,137,4,2,5,6,23,28,50,79,7,3,4,11,23,23,48,64,12,8,5,7,16,16,38,53,16,15,12,7,16,25,44,49,17,19,16,13,17,28,57,75,34,35,28,31,35,38,57,89,63,56,53,49,55,74,82,104,K1
177,255,213,150,108,61,59,92,122,107,61,20,8,2,3,7,96,58,31,11,1,2,5,7,69,29,10,1,1,1,3,6,40,12,1,0,1,2,3,6,24,1,0,0,1,2,13,6,10,1,2,2,2,7,7,11,27,4,5,5,6,5,10,17,255,127,84,63,51,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,129,89,70,63,62,61,67,0,0,1,2,7,11,16,26,2,0,1,3,6,7,12,21,3,2,2,3,6,5,10,18,5,7,3,2,4,6,10,16,9,8,5,3,5,7,14,21,13,14,9,9,7,11,19,28,19,21,18,14,14,18,23,30,K1
255,197,116,85,62,52,47,53,48,37,13,2,1,1,1,2,30,11,4,1,0,1,4,4,26,4,1,0,0,0,1,3,10,1,0,0,1,4,1,5,8,0,0,0,1,1,15,2,5,0,1,1,2,8,3,9,17,2,3,3,4,3,7,11,255,127,84,63,51,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,128,87,66,57,48,45,45,1,1,0,1,3,4,5,8,1,0,1,0,2,1,4,7,2,1,1,1,2,2,3,5,3,2,1,1,2,3,3,5,3,2,1,1,2,3,6,7,5,4,3,2,3,5,10,13,6,6,5,4,4,6,10,14,K1
