@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-unsharp5x5/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

7,18,13,10,14,12,16,14,16,14,15,16,17,15,13,14,16,16,16,15,15,27,15,16,19,16,18,45,17,15,8,15,8,K1
5,16,17,12,15,13,16,15,15,15,16,16,16,16,15,16,15,15,15,16,17,30,15,16,17,16,17,36,17,16,11,16,12,K1
12,9,16,15,16,15,14,15,14,16,15,15,13,16,14,15,16,17,15,16,16,31,14,16,18,16,18,42,15,15,10,16,9,K1
6,16,16,12,16,11,15,16,15,15,15,15,16,15,13,15,15,15,16,15,15,30,16,16,17,16,17,40,16,15,11,15,10,K1
15,16,22,16,17,7,15,19,15,20,22,16,22,14,13,15,14,15,19,16,19,25,15,15,16,15,23,49,16,16,13,17,3,K1
15,18,10,20,15,12,15,12,17,13,19,16,15,15,14,16,17,16,15,16,16,32,17,15,21,14,17,41,16,15,10,16,9,K1
19,20,21,21,17,20,18,17,14,15,24,14,18,15,13,15,15,15,14,13,16,31,16,17,18,16,21,47,16,16,13,15,7,K1
42,29,18,24,15,22,18,14,22,16,16,15,8,15,16,15,16,10,16,15,15,28,15,16,19,15,19,46,14,15,7,16,7,K1
24,20,19,19,15,14,16,18,17,15,17,16,13,17,11,14,13,15,16,16,14,29,16,16,20,15,19,49,17,15,7,16,7,K1
18,17,20,12,14,14,16,17,12,16,17,13,13,19,13,14,16,15,15,13,17,26,16,16,20,16,20,50,16,15,6,16,6,K1
17,17,21,11,18,14,15,20,14,15,18,14,15,17,11,15,16,16,14,16,16,25,16,17,18,15,22,51,15,14,9,17,4,K1
10,17,16,17,18,15,15,16,11,15,18,17,16,14,12,14,15,14,15,15,14,28,15,15,17,15,20,46,16,16,13,16,7,K1
51,13,21,26,15,29,18,10,17,18,18,17,12,16,18,16,16,15,12,16,17,28,16,16,17,15,18,46,15,13,9,16,6,K1
