@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.GaborFilter-D../irteera/convert-unsharp5x5/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

6.195927,0.074795,6.19801,0.07482,6.19801,0.07482,6.195927,0.074795,6.19801,0.07482,6.19801,0.07482,6.403182,0.077297,6.405335,0.077323,6.405335,0.077323,6.403182,0.077297,6.405335,0.077323,6.405335,0.077323,6.397262,0.077225,6.399412,0.077251,6.399412,0.077251,6.397262,0.077225,6.399412,0.077251,6.399412,0.077251,6.380487,0.077023,6.382631,0.077049,6.382631,0.077049,6.380487,0.077023,6.382631,0.077049,6.382631,0.077049,6.332798,0.076447,6.334927,0.076473,6.334927,0.076473,6.332798,0.076447,6.334927,0.076473,6.334927,0.076473,K1
3.439584,0.041685,3.44074,0.041699,3.44074,0.041699,3.439584,0.041685,3.44074,0.041699,3.44074,0.041699,3.554639,0.043079,3.555834,0.043094,3.555834,0.043094,3.554639,0.043079,3.555834,0.043094,3.555834,0.043094,3.551352,0.043039,3.552546,0.043054,3.552546,0.043054,3.551352,0.043039,3.552546,0.043054,3.552546,0.043054,3.542039,0.042927,3.54323,0.042941,3.54323,0.042941,3.542039,0.042927,3.54323,0.042941,3.54323,0.042941,3.515566,0.042606,3.516747,0.04262,3.516747,0.04262,3.515566,0.042606,3.516747,0.04262,3.516747,0.04262,K1
7.931146,0.046998,7.933812,0.047013,7.933812,0.047013,7.931146,0.046998,7.933812,0.047013,7.933812,0.047013,8.196445,0.04857,8.1992,0.048586,8.1992,0.048586,8.196445,0.04857,8.1992,0.048586,8.1992,0.048586,8.188866,0.048525,8.191619,0.048541,8.191619,0.048541,8.188866,0.048525,8.191619,0.048541,8.191619,0.048541,8.167393,0.048397,8.170138,0.048414,8.170138,0.048414,8.167393,0.048397,8.170138,0.048414,8.170138,0.048414,8.106349,0.048036,8.109074,0.048052,8.109074,0.048052,8.106349,0.048036,8.109074,0.048052,8.109074,0.048052,K1
4.548691,0.044768,4.55022,0.044783,4.55022,0.044783,4.548691,0.044768,4.55022,0.044783,4.55022,0.044783,4.700846,0.046266,4.702426,0.046282,4.702426,0.046282,4.700846,0.046266,4.702426,0.046282,4.702426,0.046282,4.696499,0.046223,4.698078,0.046239,4.698078,0.046239,4.696499,0.046223,4.698078,0.046239,4.698078,0.046239,4.684184,0.046102,4.685758,0.046117,4.685758,0.046117,4.684184,0.046102,4.685758,0.046117,4.685758,0.046117,4.649173,0.045757,4.650736,0.045773,4.650736,0.045773,4.649173,0.045757,4.650736,0.045773,4.650736,0.045773,K1
9.573912,0.09356,9.57713,0.093591,9.57713,0.093591,9.573912,0.09356,9.57713,0.093591,9.57713,0.093591,9.894162,0.09669,9.897488,0.096722,9.897488,0.096722,9.894162,0.09669,9.897488,0.096722,9.897488,0.096722,9.885014,0.0966,9.888336,0.096633,9.888336,0.096633,9.885014,0.0966,9.888336,0.096633,9.888336,0.096633,9.859092,0.096347,9.862406,0.096379,9.862406,0.096379,9.859092,0.096347,9.862406,0.096379,9.862406,0.096379,9.785404,0.095627,9.788693,0.095659,9.788693,0.095659,9.785404,0.095627,9.788693,0.095659,9.788693,0.095659,K1
8.548997,0.065218,8.55187,0.06524,8.55187,0.06524,8.548997,0.065218,8.55187,0.06524,8.55187,0.06524,8.834963,0.0674,8.837933,0.067422,8.837933,0.067422,8.834963,0.0674,8.837933,0.067422,8.837933,0.067422,8.826794,0.067337,8.829761,0.06736,8.829761,0.06736,8.826794,0.067337,8.829761,0.06736,8.829761,0.06736,8.803648,0.067161,8.806607,0.067183,8.806607,0.067183,8.803648,0.067161,8.806607,0.067183,8.806607,0.067183,8.737848,0.066659,8.740785,0.066681,8.740785,0.066681,8.737848,0.066659,8.740785,0.066681,8.740785,0.066681,K1
9.794559,0.057327,9.797851,0.057347,9.797851,0.057347,9.794559,0.057327,9.797851,0.057347,9.797851,0.057347,10.122189,0.059245,10.125592,0.059265,10.125592,0.059265,10.122189,0.059245,10.125592,0.059265,10.125592,0.059265,10.11283,0.05919,10.11623,0.05921,10.11623,0.05921,10.11283,0.05919,10.11623,0.05921,10.11623,0.05921,10.086312,0.059035,10.089702,0.059055,10.089702,0.059055,10.086312,0.059035,10.089702,0.059055,10.089702,0.059055,10.010925,0.058594,10.01429,0.058613,10.01429,0.058613,10.010925,0.058594,10.01429,0.058613,10.01429,0.058613,K1
13.6102,0.087378,13.614775,0.087408,13.614775,0.087408,13.6102,0.087378,13.614775,0.087408,13.614775,0.087408,14.065465,0.090301,14.070193,0.090332,14.070193,0.090332,14.065465,0.090301,14.070193,0.090332,14.070193,0.090332,14.05246,0.090218,14.057183,0.090248,14.057183,0.090248,14.05246,0.090218,14.057183,0.090248,14.057183,0.090248,14.01561,0.089981,14.020321,0.090011,14.020321,0.090011,14.01561,0.089981,14.020321,0.090011,14.020321,0.090011,13.910855,0.089309,13.915531,0.089339,13.915531,0.089339,13.910855,0.089309,13.915531,0.089339,13.915531,0.089339,K1
11.438465,0.071215,11.442309,0.071239,11.442309,0.071239,11.438465,0.071215,11.442309,0.071239,11.442309,0.071239,11.821084,0.073597,11.825058,0.073622,11.825058,0.073622,11.821084,0.073597,11.825058,0.073622,11.825058,0.073622,11.810154,0.073529,11.814124,0.073554,11.814124,0.073554,11.810154,0.073529,11.814124,0.073554,11.814124,0.073554,11.779185,0.073336,11.783144,0.073361,11.783144,0.073361,11.779185,0.073336,11.783144,0.073361,11.783144,0.073361,11.691145,0.072788,11.695075,0.072812,11.695075,0.072812,11.691145,0.072788,11.695075,0.072812,11.695075,0.072812,K1
10.584869,0.079365,10.588427,0.079392,10.588427,0.079392,10.584869,0.079365,10.588427,0.079392,10.588427,0.079392,10.938935,0.08202,10.942612,0.082048,10.942612,0.082048,10.938935,0.08202,10.942612,0.082048,10.942612,0.082048,10.928821,0.081944,10.932495,0.081972,10.932495,0.081972,10.928821,0.081944,10.932495,0.081972,10.932495,0.081972,10.900162,0.081729,10.903826,0.081757,10.903826,0.081757,10.900162,0.081729,10.903826,0.081757,10.903826,0.081757,10.818693,0.081119,10.82233,0.081146,10.82233,0.081146,10.818693,0.081119,10.82233,0.081146,10.82233,0.081146,K1
11.100361,0.088812,11.104093,0.088842,11.104093,0.088842,11.100361,0.088812,11.104093,0.088842,11.104093,0.088842,11.471671,0.091783,11.475527,0.091814,11.475527,0.091814,11.471671,0.091783,11.475527,0.091814,11.475527,0.091814,11.461064,0.091698,11.464917,0.091729,11.464917,0.091729,11.461064,0.091698,11.464917,0.091729,11.464917,0.091729,11.43101,0.091458,11.434853,0.091489,11.434853,0.091489,11.43101,0.091458,11.434853,0.091489,11.434853,0.091489,11.345573,0.090774,11.349387,0.090805,11.349387,0.090805,11.345573,0.090774,11.349387,0.090805,11.349387,0.090805,K1
7.356991,0.060809,7.359464,0.06083,7.359464,0.06083,7.356991,0.060809,7.359464,0.06083,7.359464,0.06083,7.603084,0.062843,7.60564,0.062865,7.60564,0.062865,7.603084,0.062843,7.60564,0.062865,7.60564,0.062865,7.596054,0.062785,7.598608,0.062806,7.598608,0.062806,7.596054,0.062785,7.598608,0.062806,7.598608,0.062806,7.576135,0.062621,7.578682,0.062642,7.578682,0.062642,7.576135,0.062621,7.578682,0.062642,7.578682,0.062642,7.51951,0.062153,7.522038,0.062174,7.522038,0.062174,7.51951,0.062153,7.522038,0.062174,7.522038,0.062174,K1
15.827954,0.07908,15.833274,0.079107,15.833274,0.079107,15.827954,0.07908,15.833274,0.079107,15.833274,0.079107,16.357403,0.081726,16.362901,0.081753,16.362901,0.081753,16.357403,0.081726,16.362901,0.081753,16.362901,0.081753,16.342279,0.08165,16.347772,0.081678,16.347772,0.081678,16.342279,0.08165,16.347772,0.081678,16.347772,0.081678,16.299425,0.081436,16.304904,0.081463,16.304904,0.081463,16.299425,0.081436,16.304904,0.081463,16.304904,0.081463,16.1776,0.080827,16.183038,0.080855,16.183038,0.080855,16.1776,0.080827,16.183038,0.080855,16.183038,0.080855,K1
7.870906,0.080147,7.873552,0.080174,7.873552,0.080174,7.870906,0.080147,7.873552,0.080174,7.873552,0.080174,8.13419,0.082828,8.136924,0.082856,8.136924,0.082856,8.13419,0.082828,8.136924,0.082856,8.136924,0.082856,8.126669,0.082752,8.129401,0.08278,8.129401,0.08278,8.126669,0.082752,8.129401,0.08278,8.129401,0.08278,8.105358,0.082535,8.108083,0.082562,8.108083,0.082562,8.105358,0.082535,8.108083,0.082562,8.108083,0.082562,8.044778,0.081918,8.047482,0.081945,8.047482,0.081945,8.044778,0.081918,8.047482,0.081945,8.047482,0.081945,K1
8.110705,0.077159,8.113432,0.077185,8.113432,0.077185,8.110705,0.077159,8.113432,0.077185,8.113432,0.077185,8.38201,0.07974,8.384828,0.079766,8.384828,0.079766,8.38201,0.07974,8.384828,0.079766,8.384828,0.079766,8.37426,0.079666,8.377075,0.079693,8.377075,0.079693,8.37426,0.079666,8.377075,0.079693,8.377075,0.079693,8.352301,0.079457,8.355108,0.079484,8.355108,0.079484,8.352301,0.079457,8.355108,0.079484,8.355108,0.079484,8.289874,0.078863,8.292661,0.07889,8.292661,0.07889,8.289874,0.078863,8.292661,0.07889,8.292661,0.07889,K1
8.690843,0.091938,8.693764,0.091969,8.693764,0.091969,8.690843,0.091938,8.693764,0.091969,8.693764,0.091969,8.981554,0.095013,8.984573,0.095045,8.984573,0.095045,8.981554,0.095013,8.984573,0.095045,8.984573,0.095045,8.973249,0.094926,8.976265,0.094958,8.976265,0.094958,8.973249,0.094926,8.976265,0.094958,8.976265,0.094958,8.949719,0.094677,8.952727,0.094709,8.952727,0.094709,8.949719,0.094677,8.952727,0.094709,8.952727,0.094709,8.882827,0.093969,8.885813,0.094001,8.885813,0.094001,8.882827,0.093969,8.885813,0.094001,8.885813,0.094001,K1
7.497654,0.041516,7.500174,0.04153,7.500174,0.04153,7.497654,0.041516,7.500174,0.04153,7.500174,0.04153,7.748452,0.042904,7.751057,0.042919,7.751057,0.042919,7.748452,0.042904,7.751057,0.042919,7.751057,0.042919,7.741288,0.042865,7.74389,0.042879,7.74389,0.042879,7.741288,0.042865,7.74389,0.042879,7.74389,0.042879,7.720988,0.042752,7.723583,0.042767,7.723583,0.042767,7.720988,0.042752,7.723583,0.042767,7.723583,0.042767,7.66328,0.042433,7.665856,0.042447,7.665856,0.042447,7.66328,0.042433,7.665856,0.042447,7.665856,0.042447,K1
4.949028,0.046818,4.950692,0.046833,4.950692,0.046833,4.949028,0.046818,4.950692,0.046833,4.950692,0.046833,5.114574,0.048384,5.116294,0.0484,5.116294,0.0484,5.114574,0.048384,5.116294,0.0484,5.116294,0.0484,5.109845,0.048339,5.111563,0.048355,5.111563,0.048355,5.109845,0.048339,5.111563,0.048355,5.111563,0.048355,5.096446,0.048212,5.098159,0.048228,5.098159,0.048228,5.096446,0.048212,5.098159,0.048228,5.098159,0.048228,5.058354,0.047852,5.060055,0.047868,5.060055,0.047868,5.058354,0.047852,5.060055,0.047868,5.060055,0.047868,K1
3.83407,0.037987,3.835359,0.037999,3.835359,0.037999,3.83407,0.037987,3.835359,0.037999,3.835359,0.037999,3.962321,0.039257,3.963653,0.039271,3.963653,0.039271,3.962321,0.039257,3.963653,0.039271,3.963653,0.039271,3.958657,0.039221,3.959988,0.039234,3.959988,0.039234,3.958657,0.039221,3.959988,0.039234,3.959988,0.039234,3.948277,0.039118,3.949604,0.039131,3.949604,0.039131,3.948277,0.039118,3.949604,0.039131,3.949604,0.039131,3.918767,0.038826,3.920084,0.038839,3.920084,0.038839,3.918767,0.038826,3.920084,0.038839,3.920084,0.038839,K1
4.120983,0.048597,4.122369,0.048613,4.122369,0.048613,4.120983,0.048597,4.122369,0.048613,4.122369,0.048613,4.258831,0.050222,4.260263,0.050239,4.260263,0.050239,4.258831,0.050222,4.260263,0.050239,4.260263,0.050239,4.254894,0.050176,4.256324,0.050193,4.256324,0.050193,4.254894,0.050176,4.256324,0.050193,4.256324,0.050193,4.243736,0.050044,4.245163,0.050061,4.245163,0.050061,4.243736,0.050044,4.245163,0.050061,4.245163,0.050061,4.212018,0.04967,4.213434,0.049687,4.213434,0.049687,4.212018,0.04967,4.213434,0.049687,4.213434,0.049687,K1
4.12804,0.0474,4.129427,0.047415,4.129427,0.047415,4.12804,0.0474,4.129427,0.047415,4.129427,0.047415,4.266124,0.048985,4.267558,0.049002,4.267558,0.049002,4.266124,0.048985,4.267558,0.049002,4.267558,0.049002,4.262179,0.04894,4.263612,0.048956,4.263612,0.048956,4.262179,0.04894,4.263612,0.048956,4.263612,0.048956,4.251002,0.048811,4.252431,0.048828,4.252431,0.048828,4.251002,0.048811,4.252431,0.048828,4.252431,0.048828,4.21923,0.048447,4.220648,0.048463,4.220648,0.048463,4.21923,0.048447,4.220648,0.048463,4.220648,0.048463,K1
8.003877,0.091153,8.006567,0.091183,8.006567,0.091183,8.003877,0.091153,8.006567,0.091183,8.006567,0.091183,8.271609,0.094202,8.274389,0.094233,8.274389,0.094233,8.271609,0.094202,8.274389,0.094233,8.274389,0.094233,8.263961,0.094115,8.266739,0.094146,8.266739,0.094146,8.263961,0.094115,8.266739,0.094146,8.266739,0.094146,8.24229,0.093868,8.245061,0.093899,8.245061,0.093899,8.24229,0.093868,8.245061,0.093899,8.245061,0.093899,8.180686,0.093166,8.183436,0.093198,8.183436,0.093198,8.180686,0.093166,8.183436,0.093198,8.183436,0.093198,K1
8.85274,0.091581,8.855715,0.091612,8.855715,0.091612,8.85274,0.091581,8.855715,0.091612,8.855715,0.091612,9.148866,0.094645,9.151941,0.094676,9.151941,0.094676,9.148866,0.094645,9.151941,0.094676,9.151941,0.094676,9.140407,0.094557,9.143479,0.094589,9.143479,0.094589,9.140407,0.094557,9.143479,0.094589,9.143479,0.094589,9.116438,0.094309,9.119502,0.094341,9.119502,0.094341,9.116438,0.094309,9.119502,0.094341,9.119502,0.094341,9.0483,0.093604,9.051342,0.093636,9.051342,0.093636,9.0483,0.093604,9.051342,0.093636,9.051342,0.093636,K1
9.761185,0.097986,9.764466,0.098019,9.764466,0.098019,9.761185,0.097986,9.764466,0.098019,9.764466,0.098019,10.087699,0.101263,10.09109,0.101297,10.09109,0.101297,10.087699,0.101263,10.09109,0.101297,10.09109,0.101297,10.078372,0.10117,10.081759,0.101204,10.081759,0.101204,10.078372,0.10117,10.081759,0.101204,10.081759,0.101204,10.051943,0.100904,10.055322,0.100938,10.055322,0.100938,10.051943,0.100904,10.055322,0.100938,10.055322,0.100938,9.976814,0.10015,9.980167,0.100184,9.980167,0.100184,9.976814,0.10015,9.980167,0.100184,9.980167,0.100184,K1
2.514506,0.02785,2.515351,0.027859,2.515351,0.027859,2.514506,0.02785,2.515351,0.027859,2.515351,0.027859,2.598617,0.028782,2.599491,0.028791,2.599491,0.028791,2.598617,0.028782,2.599491,0.028791,2.599491,0.028791,2.596214,0.028755,2.597087,0.028765,2.597087,0.028765,2.596214,0.028755,2.597087,0.028765,2.597087,0.028765,2.589406,0.028679,2.590277,0.028689,2.590277,0.028689,2.589406,0.028679,2.590277,0.028689,2.590277,0.028689,2.570053,0.028465,2.570917,0.028475,2.570917,0.028475,2.570053,0.028465,2.570917,0.028475,2.570917,0.028475,K1
11.26342,0.103107,11.267206,0.103142,11.267206,0.103142,11.26342,0.103107,11.267206,0.103142,11.267206,0.103142,11.640184,0.106556,11.644097,0.106592,11.644097,0.106592,11.640184,0.106556,11.644097,0.106592,11.644097,0.106592,11.629421,0.106457,11.63333,0.106493,11.63333,0.106493,11.629421,0.106457,11.63333,0.106493,11.63333,0.106493,11.598926,0.106178,11.602824,0.106214,11.602824,0.106214,11.598926,0.106178,11.602824,0.106214,11.602824,0.106214,11.512234,0.105385,11.516103,0.10542,11.516103,0.10542,11.512234,0.105385,11.516103,0.10542,11.516103,0.10542,K1
11.867706,0.097394,11.871695,0.097427,11.871695,0.097427,11.867706,0.097394,11.871695,0.097427,11.871695,0.097427,12.264684,0.100652,12.268806,0.100686,12.268806,0.100686,12.264684,0.100652,12.268806,0.100686,12.268806,0.100686,12.253343,0.100559,12.257462,0.100593,12.257462,0.100593,12.253343,0.100559,12.257462,0.100593,12.257462,0.100593,12.221212,0.100295,12.22532,0.100329,12.22532,0.100329,12.221212,0.100295,12.22532,0.100329,12.22532,0.100329,12.129869,0.099546,12.133946,0.099579,12.133946,0.099579,12.129869,0.099546,12.133946,0.099579,12.133946,0.099579,K1
3.33407,0.032657,3.335191,0.032668,3.335191,0.032668,3.33407,0.032657,3.335191,0.032668,3.335191,0.032668,3.445596,0.03375,3.446754,0.033761,3.446754,0.033761,3.445596,0.03375,3.446754,0.033761,3.446754,0.033761,3.44241,0.033718,3.443567,0.03373,3.443567,0.03373,3.44241,0.033718,3.443567,0.03373,3.443567,0.03373,3.433383,0.03363,3.434537,0.033641,3.434537,0.033641,3.433383,0.03363,3.434537,0.033641,3.434537,0.033641,3.407721,0.033379,3.408867,0.03339,3.408867,0.03339,3.407721,0.033379,3.408867,0.03339,3.408867,0.03339,K1
2.885896,0.027472,2.886866,0.027482,2.886866,0.027482,2.885896,0.027472,2.886866,0.027482,2.886866,0.027482,2.98243,0.028391,2.983432,0.028401,2.983432,0.028401,2.98243,0.028391,2.983432,0.028401,2.983432,0.028401,2.979672,0.028365,2.980674,0.028375,2.980674,0.028375,2.979672,0.028365,2.980674,0.028375,2.980674,0.028375,2.971859,0.028291,2.972858,0.0283,2.972858,0.0283,2.971859,0.028291,2.972858,0.0283,2.972858,0.0283,2.949647,0.028079,2.950638,0.028089,2.950638,0.028089,2.949647,0.028079,2.950638,0.028089,2.950638,0.028089,K1
