@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D../irteera/convert-unsharp5x5/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

255,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,161,4,0,0,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,K1
255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,6,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
23,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,106,10,0,0,16,255,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,K1
255,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,21,0,0,0,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
115,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,44,0,0,0,156,0,0,0,0,0,0,0,0,0,0,5,1,0,0,27,255,17,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,45,K1
43,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,146,18,0,0,8,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,132,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,8,K1
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,7,0,0,8,166,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,0,0,0,238,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,17,K1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,180,5,0,0,0,0,0,0,0,0,0,96,3,0,0,25,26,9,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,255,K1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,0,255,13,0,0,0,1,0,0,0,0,0,95,3,0,0,65,67,32,0,0,0,76,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,64,K1
40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,1,255,7,0,0,0,0,0,0,0,0,0,149,2,0,0,36,31,9,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,70,K1
92,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,0,0,8,158,1,0,0,0,0,0,0,0,0,0,255,2,0,0,33,34,12,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,0,0,0,84,K1
