@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.GaborFilter-D../irteera/ordenatuak/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

6.240937,0.065404,6.243035,0.065426,6.243035,0.065426,6.240937,0.065404,6.243035,0.065426,6.243035,0.065426,6.449698,0.067592,6.451866,0.067614,6.451866,0.067614,6.449698,0.067592,6.451866,0.067614,6.451866,0.067614,6.443735,0.067529,6.445901,0.067552,6.445901,0.067552,6.443735,0.067529,6.445901,0.067552,6.445901,0.067552,6.426838,0.067352,6.428998,0.067375,6.428998,0.067375,6.426838,0.067352,6.428998,0.067375,6.428998,0.067375,6.378803,0.066849,6.380947,0.066871,6.380947,0.066871,6.378803,0.066849,6.380947,0.066871,6.380947,0.066871,K1
3.467019,0.034616,3.468185,0.034627,3.468185,0.034627,3.467019,0.034616,3.468185,0.034627,3.468185,0.034627,3.582992,0.035774,3.584197,0.035786,3.584197,0.035786,3.582992,0.035774,3.584197,0.035786,3.584197,0.035786,3.579679,0.035741,3.580883,0.035753,3.580883,0.035753,3.579679,0.035741,3.580883,0.035753,3.580883,0.035753,3.570292,0.035647,3.571492,0.035659,3.571492,0.035659,3.570292,0.035647,3.571492,0.035659,3.571492,0.035659,3.543607,0.03538,3.544799,0.035392,3.544799,0.035392,3.543607,0.03538,3.544799,0.035392,3.544799,0.035392,K1
8.008457,0.040424,8.011149,0.040437,8.011149,0.040437,8.008457,0.040424,8.011149,0.040437,8.011149,0.040437,8.276342,0.041776,8.279124,0.04179,8.279124,0.04179,8.276342,0.041776,8.279124,0.04179,8.279124,0.04179,8.268689,0.041737,8.271469,0.041751,8.271469,0.041751,8.268689,0.041737,8.271469,0.041751,8.271469,0.041751,8.247007,0.041628,8.249779,0.041642,8.249779,0.041642,8.247007,0.041628,8.249779,0.041642,8.249779,0.041642,8.185367,0.041317,8.188119,0.041331,8.188119,0.041331,8.185367,0.041317,8.188119,0.041331,8.188119,0.041331,K1
4.587324,0.041461,4.588866,0.041475,4.588866,0.041475,4.587324,0.041461,4.588866,0.041475,4.588866,0.041475,4.740771,0.042848,4.742365,0.042863,4.742365,0.042863,4.740771,0.042848,4.742365,0.042863,4.742365,0.042863,4.736388,0.042809,4.73798,0.042823,4.73798,0.042823,4.736388,0.042809,4.73798,0.042823,4.73798,0.042823,4.723968,0.042696,4.725556,0.042711,4.725556,0.042711,4.723968,0.042696,4.725556,0.042711,4.725556,0.042711,4.68866,0.042377,4.690236,0.042391,4.690236,0.042391,4.68866,0.042377,4.690236,0.042391,4.690236,0.042391,K1
9.77258,0.087511,9.775865,0.08754,9.775865,0.08754,9.77258,0.087511,9.775865,0.08754,9.775865,0.08754,10.099475,0.090438,10.10287,0.090468,10.10287,0.090468,10.099475,0.090438,10.10287,0.090468,10.10287,0.090468,10.090137,0.090354,10.093529,0.090385,10.093529,0.090385,10.090137,0.090354,10.093529,0.090385,10.093529,0.090385,10.063678,0.090117,10.067061,0.090148,10.067061,0.090148,10.063678,0.090117,10.067061,0.090148,10.067061,0.090148,9.98846,0.089444,9.991818,0.089474,9.991818,0.089474,9.98846,0.089444,9.991818,0.089474,9.991818,0.089474,K1
8.640792,0.060344,8.643697,0.060364,8.643697,0.060364,8.640792,0.060344,8.643697,0.060364,8.643697,0.060364,8.929829,0.062362,8.932831,0.062383,8.932831,0.062383,8.929829,0.062362,8.932831,0.062383,8.932831,0.062383,8.921572,0.062305,8.924571,0.062326,8.924571,0.062326,8.921572,0.062305,8.924571,0.062326,8.924571,0.062326,8.898177,0.062141,8.901169,0.062162,8.901169,0.062162,8.898177,0.062141,8.901169,0.062162,8.901169,0.062162,8.831671,0.061677,8.83464,0.061697,8.83464,0.061697,8.831671,0.061677,8.83464,0.061697,8.83464,0.061697,K1
9.874083,0.054755,9.877402,0.054773,9.877402,0.054773,9.874083,0.054755,9.877402,0.054773,9.877402,0.054773,10.204374,0.056587,10.207804,0.056606,10.207804,0.056606,10.204374,0.056587,10.207804,0.056606,10.207804,0.056606,10.194938,0.056534,10.198365,0.056553,10.198365,0.056553,10.194938,0.056534,10.198365,0.056553,10.198365,0.056553,10.168204,0.056386,10.171622,0.056405,10.171622,0.056405,10.168204,0.056386,10.171622,0.056405,10.171622,0.056405,10.092206,0.055965,10.095598,0.055983,10.095598,0.055983,10.092206,0.055965,10.095598,0.055983,10.095598,0.055983,K1
13.799226,0.082103,13.803864,0.082131,13.803864,0.082131,13.799226,0.082103,13.803864,0.082131,13.803864,0.082131,14.260813,0.08485,14.265607,0.084878,14.265607,0.084878,14.260813,0.08485,14.265607,0.084878,14.265607,0.084878,14.247628,0.084771,14.252417,0.0848,14.252417,0.0848,14.247628,0.084771,14.252417,0.0848,14.252417,0.0848,14.210266,0.084549,14.215043,0.084577,14.215043,0.084577,14.210266,0.084549,14.215043,0.084577,14.215043,0.084577,14.104057,0.083917,14.108798,0.083945,14.108798,0.083945,14.104057,0.083917,14.108798,0.083945,14.108798,0.083945,K1
11.622866,0.062931,11.626773,0.062953,11.626773,0.062953,11.622866,0.062931,11.626773,0.062953,11.626773,0.062953,12.011654,0.065037,12.015692,0.065058,12.015692,0.065058,12.011654,0.065037,12.015692,0.065058,12.015692,0.065058,12.000548,0.064976,12.004582,0.064998,12.004582,0.064998,12.000548,0.064976,12.004582,0.064998,12.004582,0.064998,11.969079,0.064806,11.973103,0.064828,11.973103,0.064828,11.969079,0.064806,11.973103,0.064828,11.973103,0.064828,11.879621,0.064322,11.883614,0.064343,11.883614,0.064343,11.879621,0.064322,11.883614,0.064343,11.883614,0.064343,K1
