@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D../irteera/ordenatuak/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'Histogram of JPEG Coefficients0' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients2' numeric
@attribute 'Histogram of JPEG Coefficients3' numeric
@attribute 'Histogram of JPEG Coefficients4' numeric
@attribute 'Histogram of JPEG Coefficients5' numeric
@attribute 'Histogram of JPEG Coefficients6' numeric
@attribute 'Histogram of JPEG Coefficients7' numeric
@attribute 'Histogram of JPEG Coefficients8' numeric
@attribute 'Histogram of JPEG Coefficients9' numeric
@attribute 'Histogram of JPEG Coefficients10' numeric
@attribute 'Histogram of JPEG Coefficients11' numeric
@attribute 'Histogram of JPEG Coefficients12' numeric
@attribute 'Histogram of JPEG Coefficients13' numeric
@attribute 'Histogram of JPEG Coefficients14' numeric
@attribute 'Histogram of JPEG Coefficients15' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients17' numeric
@attribute 'Histogram of JPEG Coefficients18' numeric
@attribute 'Histogram of JPEG Coefficients19' numeric
@attribute 'Histogram of JPEG Coefficients20' numeric
@attribute 'Histogram of JPEG Coefficients21' numeric
@attribute 'Histogram of JPEG Coefficients22' numeric
@attribute 'Histogram of JPEG Coefficients23' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients25' numeric
@attribute 'Histogram of JPEG Coefficients26' numeric
@attribute 'Histogram of JPEG Coefficients27' numeric
@attribute 'Histogram of JPEG Coefficients28' numeric
@attribute 'Histogram of JPEG Coefficients29' numeric
@attribute 'Histogram of JPEG Coefficients30' numeric
@attribute 'Histogram of JPEG Coefficients31' numeric
@attribute 'Histogram of JPEG Coefficients32' numeric
@attribute 'Histogram of JPEG Coefficients33' numeric
@attribute 'Histogram of JPEG Coefficients34' numeric
@attribute 'Histogram of JPEG Coefficients35' numeric
@attribute 'Histogram of JPEG Coefficients36' numeric
@attribute 'Histogram of JPEG Coefficients37' numeric
@attribute 'Histogram of JPEG Coefficients38' numeric
@attribute 'Histogram of JPEG Coefficients39' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients41' numeric
@attribute 'Histogram of JPEG Coefficients42' numeric
@attribute 'Histogram of JPEG Coefficients43' numeric
@attribute 'Histogram of JPEG Coefficients44' numeric
@attribute 'Histogram of JPEG Coefficients45' numeric
@attribute 'Histogram of JPEG Coefficients46' numeric
@attribute 'Histogram of JPEG Coefficients47' numeric
@attribute 'Histogram of JPEG Coefficients48' numeric
@attribute 'Histogram of JPEG Coefficients49' numeric
@attribute 'Histogram of JPEG Coefficients50' numeric
@attribute 'Histogram of JPEG Coefficients51' numeric
@attribute 'Histogram of JPEG Coefficients52' numeric
@attribute 'Histogram of JPEG Coefficients53' numeric
@attribute 'Histogram of JPEG Coefficients54' numeric
@attribute 'Histogram of JPEG Coefficients55' numeric
@attribute 'Histogram of JPEG Coefficients56' numeric
@attribute 'Histogram of JPEG Coefficients57' numeric
@attribute 'Histogram of JPEG Coefficients58' numeric
@attribute 'Histogram of JPEG Coefficients59' numeric
@attribute 'Histogram of JPEG Coefficients60' numeric
@attribute 'Histogram of JPEG Coefficients61' numeric
@attribute 'Histogram of JPEG Coefficients62' numeric
@attribute 'Histogram of JPEG Coefficients63' numeric
@attribute 'Histogram of JPEG Coefficients64' numeric
@attribute 'Histogram of JPEG Coefficients65' numeric
@attribute 'Histogram of JPEG Coefficients66' numeric
@attribute 'Histogram of JPEG Coefficients67' numeric
@attribute 'Histogram of JPEG Coefficients68' numeric
@attribute 'Histogram of JPEG Coefficients69' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients71' numeric
@attribute 'Histogram of JPEG Coefficients72' numeric
@attribute 'Histogram of JPEG Coefficients73' numeric
@attribute 'Histogram of JPEG Coefficients74' numeric
@attribute 'Histogram of JPEG Coefficients75' numeric
@attribute 'Histogram of JPEG Coefficients76' numeric
@attribute 'Histogram of JPEG Coefficients77' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients79' numeric
@attribute 'Histogram of JPEG Coefficients80' numeric
@attribute 'Histogram of JPEG Coefficients81' numeric
@attribute 'Histogram of JPEG Coefficients82' numeric
@attribute 'Histogram of JPEG Coefficients83' numeric
@attribute 'Histogram of JPEG Coefficients84' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients87' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients89' numeric
@attribute 'Histogram of JPEG Coefficients90' numeric
@attribute 'Histogram of JPEG Coefficients91' numeric
@attribute 'Histogram of JPEG Coefficients92' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients95' numeric
@attribute 'Histogram of JPEG Coefficients96' numeric
@attribute 'Histogram of JPEG Coefficients97' numeric
@attribute 'Histogram of JPEG Coefficients98' numeric
@attribute 'Histogram of JPEG Coefficients99' numeric
@attribute 'Histogram of JPEG Coefficients100' numeric
@attribute 'Histogram of JPEG Coefficients101' numeric
@attribute 'Histogram of JPEG Coefficients102' numeric
@attribute 'Histogram of JPEG Coefficients103' numeric
@attribute 'Histogram of JPEG Coefficients104' numeric
@attribute 'Histogram of JPEG Coefficients105' numeric
@attribute 'Histogram of JPEG Coefficients106' numeric
@attribute 'Histogram of JPEG Coefficients107' numeric
@attribute 'Histogram of JPEG Coefficients108' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients111' numeric
@attribute 'Histogram of JPEG Coefficients112' numeric
@attribute 'Histogram of JPEG Coefficients113' numeric
@attribute 'Histogram of JPEG Coefficients114' numeric
@attribute 'Histogram of JPEG Coefficients115' numeric
@attribute 'Histogram of JPEG Coefficients116' numeric
@attribute 'Histogram of JPEG Coefficients117' numeric
@attribute 'Histogram of JPEG Coefficients118' numeric
@attribute 'Histogram of JPEG Coefficients119' numeric
@attribute 'Histogram of JPEG Coefficients120' numeric
@attribute 'Histogram of JPEG Coefficients121' numeric
@attribute 'Histogram of JPEG Coefficients122' numeric
@attribute 'Histogram of JPEG Coefficients123' numeric
@attribute 'Histogram of JPEG Coefficients124' numeric
@attribute 'Histogram of JPEG Coefficients125' numeric
@attribute 'Histogram of JPEG Coefficients126' numeric
@attribute 'Histogram of JPEG Coefficients127' numeric
@attribute 'Histogram of JPEG Coefficients128' numeric
@attribute 'Histogram of JPEG Coefficients129' numeric
@attribute 'Histogram of JPEG Coefficients130' numeric
@attribute 'Histogram of JPEG Coefficients131' numeric
@attribute 'Histogram of JPEG Coefficients132' numeric
@attribute 'Histogram of JPEG Coefficients133' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute 'Histogram of JPEG Coefficients135' numeric
@attribute 'Histogram of JPEG Coefficients136' numeric
@attribute 'Histogram of JPEG Coefficients137' numeric
@attribute 'Histogram of JPEG Coefficients138' numeric
@attribute 'Histogram of JPEG Coefficients139' numeric
@attribute 'Histogram of JPEG Coefficients140' numeric
@attribute 'Histogram of JPEG Coefficients141' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients143' numeric
@attribute 'Histogram of JPEG Coefficients144' numeric
@attribute 'Histogram of JPEG Coefficients145' numeric
@attribute 'Histogram of JPEG Coefficients146' numeric
@attribute 'Histogram of JPEG Coefficients147' numeric
@attribute 'Histogram of JPEG Coefficients148' numeric
@attribute 'Histogram of JPEG Coefficients149' numeric
@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients151' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute 'Histogram of JPEG Coefficients153' numeric
@attribute 'Histogram of JPEG Coefficients154' numeric
@attribute 'Histogram of JPEG Coefficients155' numeric
@attribute 'Histogram of JPEG Coefficients156' numeric
@attribute 'Histogram of JPEG Coefficients157' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients159' numeric
@attribute 'Histogram of JPEG Coefficients160' numeric
@attribute 'Histogram of JPEG Coefficients161' numeric
@attribute 'Histogram of JPEG Coefficients162' numeric
@attribute 'Histogram of JPEG Coefficients163' numeric
@attribute 'Histogram of JPEG Coefficients164' numeric
@attribute 'Histogram of JPEG Coefficients165' numeric
@attribute 'Histogram of JPEG Coefficients166' numeric
@attribute 'Histogram of JPEG Coefficients167' numeric
@attribute 'Histogram of JPEG Coefficients168' numeric
@attribute 'Histogram of JPEG Coefficients169' numeric
@attribute 'Histogram of JPEG Coefficients170' numeric
@attribute 'Histogram of JPEG Coefficients171' numeric
@attribute 'Histogram of JPEG Coefficients172' numeric
@attribute 'Histogram of JPEG Coefficients173' numeric
@attribute 'Histogram of JPEG Coefficients174' numeric
@attribute 'Histogram of JPEG Coefficients175' numeric
@attribute 'Histogram of JPEG Coefficients176' numeric
@attribute 'Histogram of JPEG Coefficients177' numeric
@attribute 'Histogram of JPEG Coefficients178' numeric
@attribute 'Histogram of JPEG Coefficients179' numeric
@attribute 'Histogram of JPEG Coefficients180' numeric
@attribute 'Histogram of JPEG Coefficients181' numeric
@attribute 'Histogram of JPEG Coefficients182' numeric
@attribute 'Histogram of JPEG Coefficients183' numeric
@attribute 'Histogram of JPEG Coefficients184' numeric
@attribute 'Histogram of JPEG Coefficients185' numeric
@attribute 'Histogram of JPEG Coefficients186' numeric
@attribute 'Histogram of JPEG Coefficients187' numeric
@attribute 'Histogram of JPEG Coefficients188' numeric
@attribute 'Histogram of JPEG Coefficients189' numeric
@attribute 'Histogram of JPEG Coefficients190' numeric
@attribute 'Histogram of JPEG Coefficients191' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

44,246,255,140,77,48,49,80,163,194,120,54,24,11,13,25,142,97,55,13,6,4,9,21,91,48,17,19,5,1,6,12,40,16,3,1,5,6,4,15,32,2,3,5,5,2,20,9,17,3,3,3,6,9,8,16,35,8,10,10,9,7,9,18,121,255,120,58,73,95,93,132,134,101,7,7,24,44,35,83,38,1,1,1,11,15,21,52,10,6,1,6,25,13,21,48,18,18,2,3,9,14,22,45,30,15,2,7,5,8,13,53,31,14,6,13,7,10,20,36,36,12,12,15,15,16,20,63,130,255,155,71,70,89,71,128,150,112,11,9,23,42,37,79,22,2,0,2,13,16,23,44,19,6,5,10,22,16,18,41,18,21,5,3,6,8,17,42,39,15,2,6,4,9,14,31,34,17,7,9,5,14,18,36,34,16,17,20,20,23,23,43,K1
1,123,184,97,33,25,4,29,99,255,170,51,4,2,2,9,128,127,124,58,0,2,5,11,83,57,51,22,0,2,2,3,33,34,9,1,0,3,3,10,23,6,2,4,0,1,7,13,5,22,12,1,3,11,18,30,4,11,9,1,5,2,19,18,67,150,40,32,68,107,114,255,203,29,0,12,22,57,46,123,22,0,1,10,22,16,32,106,27,10,5,25,33,26,31,50,18,20,0,2,3,19,28,86,56,20,3,35,6,21,24,85,95,16,10,10,27,41,55,68,156,31,24,51,29,21,51,76,42,255,36,37,41,79,68,220,242,85,5,12,21,40,43,122,21,1,2,5,9,12,26,51,21,13,3,2,4,15,23,110,7,34,7,5,12,20,36,90,46,32,18,23,11,18,38,76,54,30,10,32,23,38,47,109,126,41,51,55,44,62,85,113,K1
0,241,255,98,42,10,23,28,226,254,135,39,5,5,5,7,219,152,128,16,1,1,10,6,138,45,27,5,3,0,3,12,87,20,0,2,0,1,6,17,14,0,5,1,3,5,8,19,4,0,7,4,2,8,27,29,17,2,13,12,16,21,14,39,78,240,85,47,42,75,109,195,255,72,6,9,37,60,50,75,78,6,0,1,17,17,22,73,34,5,1,17,29,21,16,92,15,16,1,4,7,15,20,83,32,5,5,13,8,12,30,43,45,24,11,16,9,5,18,59,139,23,29,30,13,28,14,63,23,255,61,49,33,80,79,211,207,62,6,14,23,49,51,99,56,2,4,3,4,10,27,102,40,5,1,8,8,15,23,61,13,19,7,5,8,17,23,58,42,24,3,4,2,15,28,69,18,13,4,18,10,13,38,85,88,11,26,20,38,29,31,56,K1
22,255,112,73,14,21,23,35,183,160,77,5,4,5,6,20,182,105,19,6,1,5,16,24,128,47,1,0,0,3,12,12,52,7,0,2,4,16,6,24,29,4,1,0,2,6,20,28,15,2,3,3,6,21,11,25,50,8,20,16,16,20,24,54,82,147,50,49,60,143,89,255,171,14,5,6,12,46,38,131,67,4,4,6,9,21,20,110,7,8,3,15,15,21,15,100,27,34,1,9,7,19,29,94,33,18,6,10,3,17,21,56,34,15,6,11,16,9,39,55,67,23,40,27,26,24,25,75,179,255,72,72,71,87,78,122,200,37,0,8,19,29,31,50,41,0,0,6,20,22,29,56,12,1,1,18,29,16,11,43,20,7,3,4,9,9,23,51,48,8,4,6,10,12,24,46,40,5,8,6,15,9,39,41,51,14,22,24,37,17,26,63,K1
0,219,255,147,44,27,7,16,96,167,148,41,10,1,2,8,123,89,46,25,0,4,6,7,54,19,6,3,3,0,3,10,34,9,0,0,0,1,4,5,11,3,0,1,0,5,11,2,3,1,2,0,6,5,8,14,3,3,3,7,9,17,10,17,142,255,95,65,52,83,46,101,100,37,1,4,7,17,25,32,29,1,0,2,6,8,24,23,15,1,4,2,4,10,21,46,4,2,0,5,2,15,26,35,18,2,2,5,3,8,10,18,10,5,1,3,12,2,25,26,42,9,10,7,12,15,29,34,60,255,124,77,62,105,99,98,127,60,2,3,22,17,18,40,5,2,0,2,8,6,7,35,3,2,5,4,12,4,8,26,1,9,2,3,8,6,12,18,4,6,2,4,1,4,9,27,7,12,4,6,9,6,7,15,12,10,7,11,12,8,18,28,K1
30,247,185,97,38,24,23,44,255,203,96,32,6,4,5,22,236,128,59,6,2,4,12,21,167,86,22,3,2,2,7,15,90,32,2,1,2,5,6,20,46,4,1,2,4,5,23,20,10,3,2,5,6,16,11,23,33,7,7,10,14,11,16,34,200,255,105,93,81,128,107,238,179,50,2,8,17,34,37,118,51,1,0,3,9,15,29,95,27,4,2,8,15,13,23,76,22,10,3,3,8,10,20,73,48,11,4,6,5,11,15,54,57,13,7,11,10,11,22,47,103,28,19,20,24,24,27,56,188,255,118,97,87,137,121,245,155,50,3,6,17,33,40,117,53,1,0,4,13,19,25,89,29,7,4,15,22,17,24,79,23,14,4,6,11,9,24,77,61,16,5,9,8,10,21,58,56,15,12,12,9,14,26,57,96,20,25,25,24,25,32,74,K1
58,255,167,116,46,35,30,51,227,144,63,24,7,7,7,22,153,74,31,8,4,4,13,20,134,36,12,6,2,3,5,15,60,16,2,2,2,7,6,16,54,4,1,1,4,4,27,16,10,1,3,3,3,16,17,17,64,7,7,10,13,10,16,29,216,255,92,81,69,94,84,179,128,30,1,5,10,23,24,71,34,1,0,3,6,11,18,66,27,3,2,5,9,10,16,53,18,7,1,2,6,8,16,58,47,8,3,6,4,9,13,41,49,7,5,7,7,10,14,39,83,15,16,17,17,15,19,44,220,255,101,89,72,109,93,184,114,20,1,4,11,29,34,92,27,1,1,4,11,18,19,67,25,4,3,13,17,14,23,64,19,8,2,4,8,10,19,66,63,8,5,8,7,14,18,48,48,13,9,12,8,12,19,52,100,19,19,18,21,21,24,65,K1
196,255,249,157,90,61,63,53,97,162,120,37,14,6,7,12,139,110,64,31,10,8,15,16,103,62,19,10,1,2,3,10,79,29,7,4,1,8,4,10,40,11,2,1,1,2,12,10,7,4,3,4,4,10,7,22,24,6,7,5,9,8,13,22,218,255,138,75,93,95,91,151,94,77,4,6,13,21,22,90,46,3,1,6,9,17,26,58,19,5,2,5,14,8,11,40,28,20,3,4,7,9,17,48,37,16,3,4,3,7,15,28,22,11,1,2,7,12,9,30,35,13,12,11,17,12,18,38,208,255,146,85,101,110,90,127,111,90,12,7,21,25,33,47,49,5,0,1,7,11,18,35,24,10,2,5,13,5,11,30,33,21,2,2,6,7,8,29,44,14,3,2,3,6,10,17,29,12,5,6,4,6,9,26,38,9,14,9,13,18,16,26,K1
11,255,195,102,55,28,26,38,157,195,104,37,17,5,3,14,188,129,77,23,3,2,11,8,146,88,32,6,1,2,3,7,74,39,9,1,1,3,3,9,51,17,1,1,3,2,9,10,14,1,2,2,1,7,10,11,14,3,4,4,8,4,7,23,46,255,157,64,75,112,120,214,131,106,12,7,19,34,45,93,45,4,0,5,8,20,26,81,24,7,5,8,11,15,20,59,19,22,3,3,6,9,21,50,47,20,2,8,5,10,20,38,27,14,5,9,7,13,24,33,65,23,15,18,21,19,27,40,49,255,169,73,74,103,98,210,122,89,14,7,18,39,48,86,42,5,2,5,3,13,26,61,17,8,6,11,7,13,24,50,12,23,7,5,8,9,19,52,30,16,4,9,4,11,16,35,15,15,9,9,10,11,20,33,70,21,14,15,22,20,30,49,K1
37,255,217,117,60,35,38,34,196,208,112,45,20,9,9,22,207,142,79,25,8,5,9,16,139,84,34,10,3,4,3,15,83,46,5,1,1,3,5,15,42,11,3,2,1,4,13,13,15,3,3,3,5,10,11,15,37,5,9,8,9,8,11,25,116,255,98,66,71,93,98,182,124,83,6,6,18,32,34,90,45,2,1,4,12,15,23,71,24,5,3,9,15,11,16,52,20,12,3,2,7,6,19,54,54,11,5,5,3,12,13,46,46,11,8,6,10,10,19,40,95,17,16,13,19,16,26,52,122,255,125,86,87,126,111,224,133,109,7,6,26,41,49,112,49,5,0,7,11,15,30,92,43,4,6,17,19,18,24,69,24,16,4,3,6,11,24,64,59,16,10,9,6,15,15,58,57,18,8,11,14,16,22,52,101,22,20,18,26,21,34,81,K1
47,255,208,146,90,41,43,63,173,168,95,43,13,7,7,24,131,83,51,18,8,4,9,18,113,43,16,7,2,3,4,15,64,22,3,1,3,3,5,17,36,7,1,1,3,2,15,11,14,2,2,2,3,10,7,12,28,3,8,6,7,5,11,22,166,255,131,71,73,81,78,150,109,59,3,5,9,20,28,64,24,2,0,2,3,8,18,48,15,3,2,4,4,7,15,41,12,8,1,3,3,6,13,44,33,10,2,4,2,6,10,34,27,11,5,5,6,10,13,30,61,15,12,12,13,13,17,35,151,255,129,73,69,94,81,158,94,55,3,5,12,26,32,80,27,3,0,3,9,15,19,58,21,3,3,10,13,13,20,47,10,9,3,3,6,8,18,50,35,9,3,7,5,10,14,47,28,13,6,8,6,11,21,37,62,15,12,15,17,15,26,54,K1
130,255,211,155,99,70,60,106,135,113,67,23,10,5,5,28,100,63,34,14,7,5,8,19,74,35,12,6,2,3,4,16,41,17,2,1,2,4,5,16,27,3,1,0,1,3,14,15,8,2,2,2,2,9,8,15,29,4,5,6,6,6,12,23,243,255,126,102,92,119,103,206,91,30,1,4,11,20,24,78,22,0,0,2,7,11,16,55,14,2,2,4,13,8,12,47,16,11,2,1,5,6,12,48,31,8,2,4,2,6,10,34,29,10,5,5,6,8,11,30,40,11,10,11,14,13,17,34,255,251,141,102,94,118,105,174,79,33,2,4,12,24,22,67,19,0,0,2,8,12,15,48,10,2,1,7,15,9,12,41,12,10,2,2,5,5,14,43,24,8,3,4,3,7,9,32,19,8,5,7,7,8,14,31,30,13,11,12,13,15,17,40,K1
255,209,121,90,63,59,49,57,54,39,15,4,3,3,2,8,32,12,5,2,2,2,4,9,29,6,2,2,1,1,2,5,9,2,0,0,1,5,2,8,10,1,1,0,2,3,18,5,5,0,0,1,2,10,4,9,19,2,4,3,5,3,6,11,255,153,90,70,58,58,48,55,25,7,0,1,3,6,6,16,7,0,0,0,2,3,4,12,4,0,0,1,4,2,3,8,3,2,0,0,1,1,3,9,8,2,0,0,0,1,2,6,5,2,1,1,1,1,3,6,9,2,2,2,3,3,4,8,255,159,91,70,57,56,47,54,29,9,0,1,3,5,5,19,7,0,0,0,2,3,3,12,4,0,0,1,4,2,3,10,3,3,0,0,1,1,3,9,8,2,0,0,0,1,2,8,4,2,1,1,1,2,3,7,10,2,2,2,3,3,4,8,K1
