@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D../irteera/ordenatuak/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

255,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,166,9,0,0,5,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,14,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,10,0,0,9,255,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,118,25,0,0,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,13,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,26,K1
24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,21,0,0,3,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,3,K1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,13,0,0,4,201,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,0,0,0,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,16,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,4,0,0,0,0,0,0,0,0,0,84,5,0,0,28,75,17,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,255,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,255,11,0,0,0,0,0,0,0,0,0,58,2,0,0,62,107,31,0,0,0,78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37,0,0,0,21,K1
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,255,7,0,0,0,0,0,0,0,0,0,113,2,0,0,37,55,12,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,0,29,K1
74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,13,0,0,6,218,2,0,0,0,0,0,0,0,0,0,255,1,0,0,44,68,19,0,0,0,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65,0,0,0,50,K1
85,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,255,14,0,0,0,141,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,153,8,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,255,K1
207,7,0,0,14,10,4,0,0,0,0,0,0,0,0,0,60,11,0,0,96,255,106,0,0,0,5,0,0,0,0,0,152,5,0,0,30,129,40,0,0,0,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,K1
159,26,0,0,15,12,0,0,0,0,0,0,0,0,0,0,51,19,0,0,59,255,80,0,0,0,0,0,0,0,0,0,84,3,0,0,54,142,48,0,0,0,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,K1
171,1,0,0,34,4,0,0,0,0,0,0,0,0,0,0,49,0,0,0,192,135,0,0,0,0,0,0,0,0,0,0,255,8,0,0,6,109,25,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,26,0,0,0,13,K1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,4,0,0,0,84,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,69,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
122,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,165,21,0,0,0,255,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,94,11,0,0,13,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,4,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
